ELEV,y2,x2
-5600,127.550202786,-11.0728935402
-5600,120.005803639,-8.84453496067
-5550,127.571784007,-11.079267898
-5550,119.958576474,-8.83058566476
-5500,127.59223835,-11.0853094144
-5500,119.908853626,-8.81589922871
-4950,169.80944325,-23.5548340125
-5000,170.050627307,-23.6260715691
-4800,150.640467704,-17.8929714457
-4800,150.183721287,-17.7580641089
-4800,149.545142538,-17.5694496937
-4850,150.869006364,-17.9604739829
-5050,170.628196377,-23.796665803
-5050,170.156919596,-23.6574666914
-5100,170.516329243,-23.7636240612
-5100,170.349858621,-23.714454309
-5000,167.622996402,-22.9090320741
-5000,166.229030202,-22.497301931
-5000,169.135452635,-23.3557601379
-5000,168.682541705,-23.2219856733
-4950,169.580589198,-23.4872383192
-4950,165.912195998,-22.403719897
-4950,164.537611182,-21.9977143545
-4950,161.911668381,-21.222100279
-4900,155.023880572,-19.1876823276
-4900,154.31675014,-18.9788200797
-4850,156.667435018,-19.6731323389
-4850,156.611364189,-19.6565709253
-4950,160.4700885,-20.7963066761
-4950,159.011899925,-20.3656074303
-4950,158.043021835,-20.0794338383
-4950,157.615208421,-19.9530723252
-5050,152.278317523,-18.3767365044
-5050,151.560201191,-18.1646293958
-5000,152.674426179,-18.4937335117
-5000,151.331041833,-18.0969435255
-4950,153.817951978,-18.8314920893
-4950,151.175917192,-18.0511249895
-4250,147.711501618,-17.0278546114
-4250,147.662981131,-17.013523312
-5400,127.632560282,-11.0972191398
-5400,119.826031621,-8.79143642907
-5450,127.612496171,-11.0912928848
-5450,119.86758576,-8.80371010653
-5050,127.768695074,-11.1374287213
-5050,119.496375954,-8.69406737142
-5100,127.749334765,-11.1317103454
-5100,119.555790406,-8.71161637724
-5150,127.729109921,-11.1257366151
-5150,119.605052065,-8.72616659366
-5200,127.709640422,-11.1199859882
-5200,119.65191786,-8.74000915355
-5250,127.690847109,-11.1144350837
-5250,119.697409468,-8.75344582536
-5300,127.672053881,-11.108884204
-5300,119.741724042,-8.76653484124
-5350,127.652433441,-11.1030889941
-5350,119.784112063,-8.77905481904
-4700,127.89985057,-11.1761675884
-4700,118.756183199,-8.47543963947
-4750,127.88173197,-11.1708159708
-4750,118.94667798,-8.53170531033
-4800,127.863322005,-11.1653782941
-4800,119.063646545,-8.56625384089
-4850,127.844774026,-11.1598998528
-4850,119.16693204,-8.59676085876
-4900,127.825944448,-11.1543382368
-4900,119.255426355,-8.62289906566
-4950,127.807010326,-11.1487457418
-4950,119.346406152,-8.64977139925
-5000,127.787919789,-11.1431070474
-5000,119.424080196,-8.67271366658
-4650,127.920995637,-11.1824131211
-4650,118.439692204,-8.38195897763
-4550,148.325219779,-17.2091260558
-4550,147.132371107,-16.8567991811
-4550,146.646221208,-16.7132070571
-4550,127.977065805,-11.1989743391
-4550,117.871248974,-8.21406020623
-4600,148.84575224,-17.3628736176
-4600,127.94903074,-11.1906937356
-4600,118.144554792,-8.29478543728
-4350,145.234172734,-16.296136026
-4350,128.102913604,-11.2361454931
-4350,116.759852552,-7.8857915522
-4400,145.32907368,-16.3241665336
-4400,128.066616407,-11.2254245373
-4400,116.867145508,-7.91748223767
-4450,145.452160344,-16.3605221421
-4450,128.034036058,-11.2158014118
-4450,117.019554335,-7.96249861475
-4500,148.164589511,-17.1616813448
-4500,147.248775442,-16.8911810575
-4500,146.32866205,-16.6194108964
-4500,128.005100833,-11.2072549315
-4500,117.242163644,-8.0282498236
-4300,145.156135254,-16.2730864119
-4300,128.160904482,-11.2532740234
-4300,116.653964353,-7.85451578427
-4250,145.087756529,-16.2528896653
-4250,128.229670498,-11.2735851626
-4250,116.54480223,-7.82227301078
-4000,144.750000097,-16.1531279177
-4000,144.383282613,-16.0448120616
-4000,143.945603011,-15.9155364127
-4000,136.963466832,-13.8532511657
-4000,132.92809808,-12.6613406631
-4000,128.83796272,-11.4532539694
-4000,115.485380734,-7.50935598002
-4050,144.830174846,-16.1768088083
-4050,144.21937393,-15.9963990187
-4050,144.083455158,-15.9562532423
-4050,136.94934507,-13.849080078
-4050,133.072507638,-12.7039943285
-4050,128.753764935,-11.4283848113
-4050,115.671632271,-7.56436834126
-4100,144.897434244,-16.1966749438
-4100,128.668266785,-11.4031315693
-4100,115.953085074,-7.64749991407
-4150,144.949569231,-16.2120738434
-4150,128.486133849,-11.3493357028
-4150,116.210091896,-7.72341097683
-4200,145.017905423,-16.2322580272
-4200,128.323098219,-11.3011805297
-4200,116.410997127,-7.78275154018
-3650,140.76749666,-14.9768320288
-3650,137.065406236,-13.8833605941
-3650,132.360610277,-12.4937240922
-3650,130.736023976,-12.013876625
-3650,79.0545425544,3.25107294655
-3700,140.920114259,-15.0219100699
-3700,137.050400662,-13.8789284586
-3700,132.421522332,-12.5117154388
-3700,130.595502595,-11.9723713945
-3700,79.1085143185,3.23513152548
-3750,141.24457,-15.1177432465
-3750,137.03558674,-13.8745529304
-3750,132.486478123,-12.5309011674
-3750,130.447718127,-11.9287208957
-3750,79.1613556508,3.21952399544
-3800,141.879230645,-15.3052003872
-3800,137.02095769,-13.8702320073
-3800,132.554237391,-12.5509149475
-3800,130.294090852,-11.8833446305
-3800,79.2143824184,3.20386169417
-3850,143.7686483,-15.8632700173
-3850,137.006432266,-13.8659416918
-3850,132.641171122,-12.5765922113
-3850,130.10893414,-11.8286556433
-3850,79.2664186177,3.188491973
-3900,143.813080454,-15.8763937624
-3900,136.992009369,-13.8616816591
-3900,132.722468546,-12.6006047014
-3900,128.986934609,-11.4972551921
-3900,115.11883139,-7.40108978683
-3900,112.863103733,-6.73482465704
-3900,112.336640491,-6.57932534426
-3900,81.197551488,2.61810108888
-3900,79.3156967225,3.17393689904
-3950,144.539127251,-16.0908432604
-3950,144.499947179,-16.0792708014
-3950,143.879234764,-15.8959334926
-3950,136.977687914,-13.857451589
-3950,132.819125158,-12.6291537732
-3950,128.916196185,-11.4763614706
-3950,115.315203537,-7.45909143153
-3300,140.548773254,-14.9122285833
-3300,137.180318286,-13.9173017002
-3300,132.027000839,-12.3951872254
-3300,131.143941104,-12.1343614526
-3350,140.565384725,-14.9171350461
-3350,137.163064748,-13.9122055928
-3350,132.073213429,-12.4088368506
-3350,131.095626593,-12.1200909916
-3400,140.583632166,-14.9225247187
-3400,137.146086954,-13.9071909306
-3400,132.119075208,-12.4223828584
-3400,131.045055439,-12.1051539948
-3400,78.6992219761,3.35602254475
-3450,140.613457175,-14.9313340107
-3450,137.129378337,-13.9022557741
-3450,132.164490704,-12.4357970492
-3450,130.994653463,-12.0902669676
-3450,78.7815138521,3.33171632707
-3500,140.644191704,-14.9404119439
-3500,137.112932537,-13.8973982448
-3500,132.210776633,-12.4494683365
-3500,130.945845377,-12.0758507214
-3500,78.8655003505,3.30690957565
-3550,140.675733156,-14.9497282148
-3550,137.096743393,-13.8926165231
-3550,132.259945895,-12.463991262
-3550,130.900900715,-12.0625755986
-3550,78.9301056821,3.28782736086
-3600,140.716758082,-14.9618455808
-3600,137.080804936,-13.8879088456
-3600,132.310057335,-12.4787924747
-3600,130.824815602,-12.0401026474
-3600,78.9920194162,3.26954015233
-3000,140.449105514,-14.8827901272
-3000,137.29340133,-13.9507025804
-3050,140.46566198,-14.8876803433
-3050,137.272479138,-13.9445228774
-3100,140.482457387,-14.8926411345
-3100,137.251548006,-13.9383405339
-3150,140.499496952,-14.8976740418
-3150,137.230683942,-13.9321779997
-3200,140.516366669,-14.9026567816
