ELEV,x2,y
-650,37.8329681772,141.007508784
-700,36.5694476851,140.957727202
-700,37.8538517632,141.008331579
-750,36.5484697545,140.956900691
-750,37.8741370732,141.009130802
-800,36.5275198012,140.956075281
-800,37.8944311549,141.009930371
-850,36.5065977793,140.955250972
-850,37.9147340111,141.010730285
-900,36.4857036427,140.954427762
-900,37.9350456444,141.011530545
-250,36.7748975203,140.965821743
-250,37.6328915604,140.999625944
-300,36.7520653996,140.964922178
-300,37.6662866563,141.000941681
-350,36.7289860988,140.964012874
-350,37.6900421282,141.001877625
-400,36.7055527485,140.963089621
-400,37.7138163004,141.002814306
-450,36.6821430837,140.962167301
-450,37.7376091875,141.003751725
-500,36.6587570776,140.961245913
-500,37.7614208042,141.004689881
-550,36.6353947038,140.960325456
-550,37.7852511649,141.005628776
0,36.980050301,140.97390458
0,37.3704219449,140.989284875
-50,36.9263047648,140.971787053
-50,37.4874993873,140.993897622
-100,36.8871676342,140.970245085
-100,37.5238760175,140.995330828
-150,36.8484625024,140.968720138
-150,37.5602335719,140.996763284
-2650,34.9450883617,140.893728892
-2650,39.3024742424,141.065406014
-200,36.8097472823,140.967194793
-200,37.5965720773,140.998194988
-3600,23.4466663376,140.440701309
-3600,25.2220971754,140.510651702
-3650,23.3623511377,140.437379365
-3650,25.313890956,140.514268296
-4250,22.2931459605,140.395253634
-4250,22.6037116708,140.407489646
-4200,22.2726383893,140.394445654
-4200,22.6618983586,140.40978215
-4150,22.2517206641,140.393621514
-4150,22.8648281291,140.417777402
-4650,14.8698296003,140.102781583
-4650,15.2592329074,140.118123727
-4550,14.7989463081,140.099988845
-4550,15.3254329242,140.120731948
-4600,14.8343896023,140.101385279
-4600,15.2924150176,140.119431072
-4700,14.9371137149,140.105432517
-4700,15.1960081211,140.115632726
-4750,15.0346818436,140.109276615
-4750,15.0945741531,140.111636318
-2750,13.1182814621,140.033772147
-2750,13.32710513,140.041999614
-2800,13.0802836514,140.032275067
-2800,13.3837782034,140.044232482
-2850,13.0350886261,140.030494424
-2850,13.4287150668,140.046002955
-4450,14.7280498234,140.097195586
-4450,15.3909812637,140.123314494
-4500,14.7634997159,140.098592281
-4500,15.358287915,140.122026406
-2050,6.97498134963,139.791731596
-2050,10.0045194812,139.911092699
-2000,7.05983424838,139.795074725
-2000,9.79528454708,139.902849029
-2100,6.89858941686,139.788721822
-2100,10.4906741667,139.930246761
-1550,7.65374176005,139.818474152
-1550,8.03691634692,139.833570889
-1600,7.5969647965,139.81623719
-1600,8.09978395796,139.836047817
-1650,7.54627612709,139.814240101
-1650,8.16297972739,139.838537674
-1700,7.4963711128,139.812273888
-1700,8.24649201608,139.841827983
-1750,7.45490890121,139.810640314
-1750,8.32854700905,139.845060877
-1800,7.37294157207,139.807410874
-1800,8.50171324038,139.851883472
-1800,8.66789387767,139.858430841
-1800,8.89849099774,139.867516162
-2200,6.7636109683,139.783403791
-2200,11.1539177105,139.956377965
-2250,6.71255508369,139.781392235
-2250,11.2610923325,139.96060055
-2300,6.66463032882,139.779504042
-2300,11.3765678191,139.965150181
-2150,6.84447934009,139.786589933
-2150,11.0350293838,139.951693871
-2850,5.27299719576,139.724674937
-2850,5.43818856468,139.73118333
-2800,5.32159732284,139.726589739
-2800,5.35291662569,139.727823691
-1450,7.80533089498,139.824446628
-1450,7.82064359531,139.825049935
-1500,7.7287334789,139.821428758
-1500,7.95820836624,139.830469865
-4250,18.6578257488,140.252025257
-4250,19.1113173722,140.269892422
-4250,19.8741655593,140.299947961
-4250,20.2654979999,140.315366111
-4200,18.5253470373,140.246805713
-4200,20.4397265496,140.322230561
-4000,16.9955285333,140.186532227
-4000,18.0035476071,140.226247281
-3950,17.0624168592,140.189167568
-3950,17.9426796942,140.223849139
-3900,17.1215077281,140.191495695
-3900,17.8756560582,140.221208468
-3750,17.3226058748,140.199418783
-3750,17.7031596862,140.214412264
-4100,14.4723999804,140.08712321
-4100,16.3079140674,140.15944083
-4100,18.2054545722,140.234202235
-4100,20.8142875653,140.336987931
-4100,22.2307435785,140.392795036
-4100,22.9933810744,140.422842274
-4050,14.4201992697,140.085066549
-4050,16.9177464755,140.183467684
-4050,18.0644136803,140.22864535
-4050,21.0241517453,140.345256393
-4050,22.2097068616,140.391966208
-4050,23.0485454081,140.425015699
-4000,14.3680282623,140.083011058
-4000,23.0882562782,140.426580272
-4200,14.5609561228,140.090612243
-4200,15.5649259817,140.130167761
-4200,15.9038656335,140.143521682
-4200,16.0098244644,140.147696365
-4250,14.5942851169,140.091925376
-4250,15.5322130781,140.128878902
-4300,14.6275365253,140.093235452
-4300,15.4967496586,140.127481675
-4350,14.6607106527,140.094542483
-4350,15.4603658324,140.126048185
-4150,14.5246092031,140.089180207
-4150,15.5934618894,140.131292051
-4150,15.6151800404,140.132147727
-4150,16.1811846478,140.154447804
-4150,18.3744557664,140.240860732
-4150,20.594633683,140.328333764
-4400,14.6938078021,140.095846481
-4400,15.4207716885,140.124488211
-3800,14.0284058184,140.069630236
-3800,23.2458920421,140.432790981
-3800,25.4846342478,140.520995429
-3800,26.5661869432,140.563607642
-3750,13.971049687,140.067370455
-3750,26.591527258,140.564606027
-3750,28.3911629671,140.635510071
-3750,29.7595837455,140.689424631
-3650,13.8739599659,140.063545207
-3650,26.6441179446,140.566678054
-3650,28.1818704821,140.627264134
-3650,31.032551182,140.739578413
-3700,13.9221947664,140.065445615
-3700,26.6178004395,140.565641167
-3700,28.2767444227,140.631002082
-3700,30.5099328409,140.718987716
-3850,14.1134392233,140.072980476
-3850,23.2071099143,140.431262999
-3850,25.5377152325,140.523086773
-3850,26.535983538,140.562417654
-3900,14.200566557,140.076413216
-3900,23.1677270923,140.429711351
-3900,25.5925396433,140.525246806
-3900,26.4764582788,140.560072412
-4000,25.7264217393,140.530521641
-4000,26.1012544789,140.545289717
-3950,25.6475742088,140.527415118
-3950,26.3861050025,140.556512574
-5350,73.7563862269,142.422859449
-5350,75.9654425367,142.5098943
-5400,73.6923902092,142.420338063
-5400,76.1441052512,142.516933452
-5300,73.8308689036,142.425794
-5300,75.8408830218,142.504986766
-5250,73.9100957714,142.428915468
-5250,75.7407675911,142.501042307
-5200,74.0013798624,142.43251198
-5200,75.6364108157,142.496930743
-5150,74.1218506837,142.437258423
-5150,74.7253397647,142.461035355
-5150,74.8678990224,142.466652063
-5150,75.5351330527,142.492940489
-5100,75.057096938,142.474106292
-5100,75.4118005347,142.488081298
-5400,55.7327001311,141.712742275
-5400,76.9847074489,142.550052429
-5400,81.1763698009,142.715200191
-5400,86.3535486705,142.919176426
-5450,55.7677515856,141.714123271
-5450,73.6074001687,142.416989531
-5450,81.3837831014,142.723372091
-5450,83.28694435,142.798354948
-5450,83.4961687419,142.806598203
-5450,86.0603753248,142.907625657
-5050,55.5009149048,141.703610144
-5100,55.5327841028,141.704865762
-5150,55.5647323185,141.706124493
-5200,55.5967597918,141.707386347
-5250,55.6288667634,141.708651333
-5250,86.9616695358,142.943135846
-5250,90.141265283,143.068409086
-5250,91.9301879056,143.138891043
-5300,55.6627718691,141.709987164
-5300,78.4495240425,142.607764898
-5300,79.6039916935,142.653249895
-5300,86.7936818222,142.93651728
-5300,90.3284902555,143.075785583
-5300,91.745354676,143.131608779
-5350,55.6977069262,141.711363574
-5350,78.0659400361,142.59265203
-5350,80.5757364742,142.691535773
-5350,86.5976794682,142.928794962
-5350,90.595478036,143.086304664
-5350,91.4740734703,143.120920541
-4700,54.8599149766,141.678355318
-4750,54.9576346125,141.682205384
-4800,55.0724926148,141.686730687
-4850,55.1975832236,141.691659146
-4900,55.3213096685,141.696533858
-4950,55.394970899,141.699436044
-5000,55.4695716844,141.702375249
-5650,56.2077087979,141.731457194
-5650,70.7756821859,142.305422366
-5600,56.061379037,141.725691931
-5600,71.2077569919,142.322445728
-5600,71.743767378,142.34356406
-5600,73.384083625,142.408191058
-5550,55.9007049465,141.719361515
-5550,73.4709608481,142.411613944
-5500,55.8028125561,141.715504642
-5500,73.5442940794,142.414503208
-5700,72.1731446826,142.360481143
-5700,73.1657672951,142.39958959
-5650,71.9815443935,142.352932262
-5650,73.2886695228,142.404431828
-5750,72.3731966929,142.368363014
-5750,72.9894139617,142.392641425
-3300,49.8585059857,141.48130426
-3300,53.3448357257,141.618662545
-3350,49.8271580894,141.48006918
-3350,53.4042746983,141.621004388
-3150,49.9523195289,141.48500043
-3150,53.138454407,141.610531305
-3200,49.9210593156,141.483768805
-3200,53.2074938809,141.613251399
-3250,49.8897962437,141.482537068
-3250,53.2769944644,141.61598966
-5900,56.4840938864,141.74234652
-5900,65.7257340397,142.106458908
-5700,56.2677612209,141.733823206
-5700,69.7908857487,142.266622264
-5750,56.3277746886,141.736187683
-5750,68.6585251863,142.222008266
-5800,56.3813153105,141.738297136
-5800,67.2361630366,142.165968465
-5850,56.4327016046,141.74032171
-5850,66.339231539,142.130630163
-4650,54.7613839751,141.674473284
-4550,-4.09251967421,139.355681916
-4550,54.4679741414,141.662913198
-4600,-4.83721071309,139.326341753
-4600,54.6032193459,141.668241739
-7200,58.0564018685,141.804294053
-7200,59.3943241755,141.857007
-7150,58.0311420531,141.803298839
-7150,59.5395895169,141.862730325
-7500,58.2278104092,141.811047397
-7500,58.6707853114,141.828500214
-7100,58.0058840074,141.802303695
-7100,59.6563470037,141.867330466
-7450,58.19770045,141.809861092
-7450,58.7393009833,141.83119967
-7350,58.1374600657,141.807487674
-7350,58.8763121273,141.836597787
-7400,58.167576799,141.808674247
-7400,58.8063666188,141.833841996
-7300,58.1073502524,141.806301374
-7300,58.9438177171,141.839257447
-7250,58.0816542209,141.805288974
-7250,59.0636696258,141.843979506
-7600,58.320634251,141.814704574
-7600,58.496428729,141.82163072
-7550,58.2579116295,141.812233359
-7550,58.5925911962,141.825419435
-7050,57.9806381738,141.801309031
-7050,59.7584514721,141.871353291
-3050,50.016989261,141.487548359
-3050,53.0004020888,141.605092167
-3100,49.983531857,141.486230168
-3100,53.0695711802,141.607817367
-2700,50.2518292713,141.496800847
-2700,52.3523528316,141.579559603
-2750,50.2168635506,141.495423228
-2750,52.457346545,141.583696262
-2800,50.182698276,141.494077147
-2800,52.5814443632,141.588585606
-2850,50.1518436786,141.492861503
-2850,52.6775522424,141.592372171
-2900,50.1201002226,141.491610839
-2900,52.7687221407,141.595964183
-2950,50.0864912039,141.490286674
-2950,52.8510196771,141.599206633
-3000,50.0527976486,141.488959178
-3000,52.9256543747,141.602147173
-2400,50.5340280326,141.507919226
-2400,52.0027600112,141.565785958
-2350,50.5937215603,141.510271098
-2350,51.9550499086,141.563906222
-2450,50.4741574546,141.505560379
-2450,52.0498994198,141.567643209
-2500,50.4188877174,141.503382801
-2500,52.0967258704,141.569488129
-2550,50.3684578538,141.501395909
-2550,52.1501379052,141.571592516
-2600,50.3258036735,141.499715372
-2600,52.205947622,141.573791369
-2650,50.2881518903,141.498231925
-2650,52.2615703582,141.575982855
-2000,51.0996902887,141.530205815
-2000,51.6054519926,141.550132376
-2050,51.0294029899,141.527436558
-2050,51.6614513871,141.552338702
-2100,50.9691610691,141.52506308
-2100,51.7175945914,141.554550694
-2150,50.9092718576,141.522703499
-2150,51.7713868521,141.556670061
-2200,50.8359008313,141.519812746
-2200,51.8166513416,141.558453442
-2250,50.7513013379,141.516479601
-2250,51.862149137,141.560246015
-2300,50.6702604045,141.51328666
-2300,51.9078527669,141.562046697
-1950,51.1790199629,141.533331334
-1950,51.5222635398,141.546854825
-3600,44.4905521779,141.269811662
-3600,45.3520507229,141.303753937
-3600,46.4564392376,141.347265861
-3600,49.3293098147,141.460454402
-3650,46.6752189626,141.355885587
-3650,48.62537457,141.432719981
-3700,46.9410100705,141.36635752
-3700,47.4134071521,141.384969544
-7000,57.955261661,141.800309219
-7000,59.8608134484,141.875386262
-6650,57.6544801599,141.788458696
-6650,61.8777279706,141.954850897
-6700,57.7107279917,141.790674811
-6700,61.2335945199,141.929472613
-6750,57.7617629559,141.792685543
-6750,60.9852860078,141.919689479
-6800,57.8040400591,141.794351223
-6800,60.8259063933,141.913410064
-6850,57.8463165099,141.796016878
-6850,60.6718602078,141.907340782
-6900,57.8885900434,141.797682417
-6900,60.4782109401,141.899711173
-6950,57.9297945787,141.799305839
-6950,59.9708385794,141.879721154
-6300,57.2720256304,141.773390329
-6300,63.2582870697,142.009243696
-6350,57.3281143872,141.775600176
-6350,63.0562514349,142.001283672
-6400,57.3844270035,141.777818842
-6400,62.874553974,141.994124954
-6450,57.4378141269,141.779922248
-6450,62.7053330671,141.987457801
-6500,57.4916869256,141.782044788
-6500,62.538009303,141.980865394
-6550,57.5450846432,141.78414861
-6550,62.3659575707,141.974086709
-6600,57.5980520191,141.786235478
-6600,62.1727445825,141.966474289
-6000,56.7516781699,141.752889102
-6000,64.7869225661,142.069470572
-6050,56.9153351901,141.759337043
-6050,64.5722873415,142.061014136
-6100,57.0062646977,141.762919585
-6100,64.325329265,142.051284208
-6150,57.0836285738,141.765967652
-6150,64.0329630723,142.03976524
-6200,57.1489896914,141.768542822
-6200,63.7405027345,142.028242563
-6250,57.2146216501,141.771128663
-6250,63.4847680557,142.018166845
-5950,56.5709639191,141.745769122
-5950,65.0339200652,142.079202054
-4350,-1.59168205886,139.45421269
-4350,54.1533756551,141.650518298
-4400,-2.34307870016,139.424608332
-4400,54.2016525617,141.652420365
-4450,-2.76308436682,139.408060483
-4450,54.2665511142,141.65497731
-4500,-3.62564818899,139.374076237
-4500,54.3542466759,141.658432437
-4300,-0.948783790315,139.479542309
-4300,54.1051379963,141.648617777
-4250,-0.345949834143,139.50329343
-4250,54.0570050788,141.646721383
-4000,1.9474552716,139.593651548
-4000,53.9037325864,141.640682584
-4050,1.63348146954,139.58128126
-4050,53.9341548593,141.641881194
-4100,1.02954461031,139.557486686
-4100,53.964521961,141.643077631
-4150,0.541478075463,139.538257299
-4150,53.9948814561,141.644273768
-4200,0.175216390218,139.523826915
-4200,54.0252333526,141.645469606
-3650,4.25966736184,139.684750644
-3650,53.7037457936,141.632803282
-3700,3.99050940775,139.674146061
-3700,53.7325126915,141.633936672
-3750,3.43649145222,139.652318247
-3750,53.7609536959,141.635057223
-3800,2.84798981607,139.629131807
-3800,53.7893547042,141.636176197
-3850,2.63924882231,139.620907597
-3850,53.8177158241,141.6372936
-3900,2.4334264617,139.61279838
-3900,53.8460371631,141.638409435
-3950,2.18579474212,139.603041911
-3950,53.8737601022,141.639501694
-3300,4.83661052107,139.707481691
-3300,12.5178781287,140.010116791
-3300,12.6185220403,140.014082071
-3300,13.6710165985,140.055549419
-3300,33.4913427351,140.83645261
-3300,42.5446946229,141.193146608
-3350,4.78118572706,139.705298003
-3350,13.696466952,140.05655214
-3350,33.2838852868,140.828278971
-3350,42.7455335407,141.201059483
-3400,4.7095389635,139.702475184
-3400,13.722011795,140.057558584
-3400,32.384708522,140.792852208
-3400,42.9321322476,141.208411305
-3400,49.7766102464,141.47807764
-3400,53.4638554302,141.623351816
-3450,4.6382643601,139.699667029
-3450,13.7476516231,140.058568771
-3450,32.0901353709,140.781246288
-3450,43.1317852183,141.216277455
-3450,49.7065228473,141.475316259
-3450,53.523342175,141.62569554
-3500,4.56909906583,139.696941978
-3500,13.7733869349,140.059582719
-3500,31.8822793429,140.773056946
-3500,43.4140360589,141.227397886
-3500,49.6243066919,141.472077016
-3500,53.5676099854,141.627439653
-3550,4.49609263637,139.694065589
-3550,13.799891129,140.060626961
-3550,31.6762669829,140.764940242
-3550,43.9024289115,141.246640129
-3550,49.5172927329,141.467860761
-3550,53.6126655383,141.629214801
-3600,4.39746248853,139.690179649
-3600,13.8272265903,140.061703954
-3600,31.4197279849,140.754832834
-3600,53.6585413343,141.631022267
-2950,5.17579174634,139.720845129
-2950,12.1718385598,139.99648314
-2950,12.9471408321,140.027029359
-2950,13.4953017889,140.048626412
-3000,5.12280605974,139.71875754
-3000,12.2051083506,139.99779394
-3000,12.9100555888,140.025568233
-3000,13.5196902716,140.049587297
-3000,34.0937181938,140.860185666
-3000,40.586949362,141.116013189
-3050,5.07250760275,139.716775825
-3050,12.2391622427,139.999135633
-3050,12.8744933405,140.024167112
-3050,13.5450068253,140.050584746
-3050,34.0036247052,140.856636063
-3050,40.7471104061,141.122323392
-3100,5.02476346578,139.714894749
-3100,12.2786332647,140.000690756
-3100,12.8392497892,140.022778548
-3100,13.5703869221,140.051584699
-3100,33.9139787466,140.853104092
-3100,40.9189019139,141.129091824
-3150,4.976465862,139.712991866
-3150,12.3166989034,140.002190508
-3150,12.8043208168,140.021402377
-3150,13.5967340212,140.052622752
-3150,33.8262479288,140.849647576
-3150,41.1478877045,141.13811366
-3200,4.93021819024,139.711169749
-3200,12.3548757653,140.003694643
-3200,12.776162655,140.020292971
-3200,13.6230812635,140.05366081
-3200,33.7314385716,140.845912172
-3200,42.0199909236,141.17247375
-3250,4.88376160393,139.709339401
-3250,12.3915439827,140.005139338
-3250,12.714979252,140.017882399
-3250,13.6493564714,140.054696029
-3250,33.6302218766,140.841924324
-3250,42.3210758579,141.184336228
-2850,5.92789349792,139.750477268
-2850,12.1052068388,139.99385791
-2900,5.22439533705,139.722760067
-2900,5.56146159124,139.736040177
-2900,5.82916762267,139.746587556
-2900,12.1385163014,139.995170273
-2900,12.9904803455,140.028736897
-2900,13.4729550888,140.047745972
-2800,34.5099181257,140.876583573
-2800,39.7684543006,141.083765213
-2850,34.3922237546,140.871946519
-2850,40.0697364897,141.095635463
-2900,34.282673357,140.867630331
-2900,40.2593517778,141.103106136
-2950,34.1867545478,140.863851216
-2950,40.4279431752,141.109748487
-2700,34.795286199,140.887826821
-2700,39.4049668977,141.069444133
-2750,34.6426431078,140.881812819
-2750,39.5298598281,141.074364803
-2650,6.25479381981,139.763356849
-2650,11.9502707793,139.987753567
-2600,6.33039978335,139.766335657
-2600,11.9084824374,139.986107143
-2450,6.50199483295,139.773096349
-2450,11.736444122,139.979328987
-2700,6.17146563489,139.760073793
-2700,11.9920951601,139.98940141
-2750,6.07372226789,139.756222791
-2750,12.0337059462,139.991040838
-2800,6.0030219755,139.753437263
-2800,12.071883763,139.99254501
-2550,6.39974663349,139.769067861
-2550,11.8597027653,139.984185268
-2500,6.45132713412,139.771100087
-2500,11.7984131307,139.981770511
-4700,-6.75711798024,139.250699117
-4650,-6.04467634772,139.278768683

