x2,y,ELEV
69.6242730959,168.452634047,-5800
70.59850243,168.882599041,-5800
67.8378759503,167.664228062,-5650
68.3164092882,167.875423287,-5650
67.6875585202,167.59788718,-5700
68.5055196295,167.958884977,-5700
69.9597437641,168.600690196,-5850
70.2989164384,168.750380184,-5850
76.0903879647,171.306380022,-5450
76.6185416532,171.539474622,-5350
76.9156313732,171.670591778,-5250
76.7943399853,171.617061209,-5300
75.9727638314,171.254467953,-5500
75.8508257346,171.200651966,-5550
77.753472102,172.040363218,-4950
77.2325455222,171.81045822,-5100
77.403836301,171.886055449,-5050
77.5814266042,171.964432902,-5000
77.930376888,172.118438126,-4900
77.01823632,171.7158753,-5200
77.1129352336,171.757669584,-5150
76.2244187099,171.365532961,-5400
30.7550409505,151.298142203,-5700
74.697818244,170.691785274,-5700
30.7802312126,151.309259637,-5750
67.5157354559,167.522055032,-5750
68.7378392841,168.061416604,-5750
73.7787058606,170.286145517,-5750
57.148714548,162.946688713,-5800
58.1831689806,163.403233367,-5800
60.8109718935,164.562984181,-5750
61.3168266949,164.786237422,-5750
30.8307690611,151.33156394,-5850
52.0392421368,160.691681398,-5850
52.9762876593,161.105235741,-5850
54.2007963747,161.645658683,-5850
31.0372979596,151.422713111,-6250
38.3936299047,154.669346229,-6250
39.1723011713,155.013003903,-6250
39.6720375517,155.233556849,-6250
31.0104833144,151.410878773,-6200
40.0537376903,155.402015847,-6200
41.0037421394,155.821289465,-6200
41.2974200137,155.950900842,-6200
30.8054217052,151.320377173,-5800
60.4085836702,164.385394733,-5800
24.3263364323,148.460906859,-3900
25.4543893559,148.958760138,-3900
28.1848149711,150.16380231,-5700
28.4934111465,150.299997709,-5700
29.7855251214,150.87025746,-4650
30.1037378926,151.010697034,-4650
29.9334629195,150.935548118,-4600
29.98619998,150.958823018,-4600
50.6197857944,160.065220547,-5900
51.1966759835,160.319824446,-5900
53.4253527035,161.303425472,-5900
53.7948097308,161.466481113,-5900
54.5816765106,161.813755782,-5800
55.8476502837,162.372478854,-5800
48.065228307,158.937795765,-5850
48.5135535258,159.135658982,-5850
45.8520555599,157.96103724,-6000
46.4074935622,158.206173461,-6000
31.2375822981,151.511106317,-6600
36.0762692001,153.646605539,-6600
36.9112861351,154.01513073,-6600
