x,y,d
68.1149739282,141.13034236,-5650
73.4186043123,139.980363416,-5650
75.2304471052,139.587504014,-5650
55.1672069037,143.937789029,-5600
60.7765628972,142.721520017,-5600
68.0797264385,141.137985025,-5600
55.1194307023,143.948148277,-5550
60.8743646865,142.700313789,-5550
68.0530450191,141.143770321,-5550
47.4584566588,145.609266833,-5500
49.1126297326,145.250594741,-5500
55.0759347439,143.957579447,-5500
60.9673681608,142.680147972,-5500
68.031534076,141.14843451,-5500
75.3967345116,139.551448142,-5700
75.610381288,139.505123403,-5700
76.3264824329,139.349852168,-5700
76.5592592149,139.299379496,-5750
79.8461689037,138.58668335,-5750
81.4105924852,138.247471518,-5750
85.5995977026,137.339175229,-5900
86.7494687269,137.089850263,-5900
86.8537421533,137.067240798,-5900
87.3516112334,136.959288524,-5950
84.9132368898,137.487997908,-5850
81.7172262614,138.180984535,-5800
82.8891429178,137.926879444,-5750
83.5858197153,137.775819964,-5750
82.5235659183,138.006147007,-5800
83.949692687,137.696921884,-5800
78.7273909213,138.829266455,-6200
79.2885208808,138.707597411,-6200
78.9694114238,138.776789479,-6250
79.1101852494,138.746265683,-6250
76.7609974847,139.255636862,-5800
79.7903317086,138.598790453,-5800
76.9622691982,139.211995391,-5850
79.7351065964,138.610764839,-5850
77.58947383,139.075999466,-5900
79.6834677662,138.621961616,-5900
79.9026330662,138.574440303,-5700
81.2522030776,138.281814878,-5700
79.9681200878,138.560240841,-5650
81.128251942,138.308691033,-5650
78.0982911967,138.96567329,-5950
79.6309548261,138.633347925,-5950
78.2641660095,138.929706881,-6000
79.5777201106,138.644890736,-6000
78.3833946382,138.9038547,-6050
79.5222328479,138.656921964,-6050
78.4928953073,138.880111819,-6100
79.4571010456,138.671044404,-6100
78.5973781825,138.85745694,-6150
79.384593199,138.686766181,-6150
80.4057285456,138.465354796,-5450
80.5642148094,138.430990436,-5450
80.2294200151,138.503583534,-5500
80.7704858448,138.386264968,-5500
80.1187288182,138.527584556,-5550
80.9015784636,138.357840335,-5550
80.0385658531,138.544966182,-5600
81.0211335703,138.331917364,-5600
91.5746207987,136.043619119,-6100
92.3653558984,135.872165105,-6100
91.2762707137,136.108309961,-6050
94.2040325482,135.473487355,-6050
89.0693184194,136.586840418,-6000
89.9813290072,136.389090405,-6000
90.7043686242,136.232314711,-6000
95.2796416663,135.240264496,-6050
96.779591927,134.915032327,-6050
56.8986939851,143.562353046,-7150
58.7167517995,143.168146049,-7150
56.8332272996,143.576548098,-7100
58.7843807627,143.153482153,-7100
56.7698024415,143.590300423,-7050
58.842249232,143.140934612,-7050
98.4376254504,134.555523179,-6100
98.0116790312,134.64788056,-6050
13.385505805,152.997258304,-3800
13.9786095069,152.868656437,-3800
16.3386020851,152.356942465,-3800
18.6800333278,151.849253121,-3800
20.4530271613,151.464817286,-3800
22.6958901476,150.978500363,-3800
23.4483939237,150.815335995,-3800
24.4587452205,150.596262901,-3800
13.3214142476,153.011155189,-3750
14.1468368408,152.832179934,-3750
16.2782098323,152.370037235,-3750
18.7988828547,151.82348314,-3750
19.4831814429,151.67510761,-3750
24.5149133401,150.584084044,-3750
13.2288604482,153.031223503,-3650
14.4656863295,152.763044234,-3650
16.1534715851,152.397084059,-3650
24.6494091496,150.554921502,-3650
13.2747790102,153.021267044,-3700
14.3376569369,152.790804673,-3700
16.2166699521,152.383380843,-3700
24.5793600785,150.570110146,-3700
13.4524304071,152.982747134,-3850
13.8400679838,152.898696207,-3850
16.3930399849,152.345138769,-3850
18.5929837453,151.868127963,-3850
20.5000413132,151.454623271,-3850
22.6398376091,150.990654158,-3850
23.5300583527,150.797628808,-3850
24.3966065292,150.609736349,-3850
16.4467069866,152.333502226,-3900
18.5098008075,151.886164406,-3900
20.5483537,151.444147762,-3900
22.5819199838,151.003212358,-3900
23.6073793155,150.78086341,-3900
24.3327021366,150.623592651,-3900
25.8634214858,150.291688862,-3650
26.8025399899,150.088061077,-3650
25.9067591241,150.282292021,-3700
26.7618873562,150.096875733,-3700
8.12509113373,154.137866844,-2250
10.7363130688,153.571679153,-2250
8.1802287674,154.125911426,-2200
10.6186973947,153.597181599,-2200
7.93740062945,154.17856352,-2400
11.0205644264,153.510045319,-2400
8.01909840825,154.160849102,-2350
10.9310001338,153.529465422,-2350
8.07087132332,154.149623252,-2300
10.8486849766,153.547313705,-2300
3.35751559604,155.171613747,-2500
4.02313881288,155.027287573,-2500
3.33334926448,155.1768537,-2550
4.04621756353,155.022283439,-2550
3.308658965,155.182207264,-2600
4.06788192586,155.017585984,-2600
3.28489856076,155.1873592,-2650
4.09535860346,155.011628254,-2650
3.26201640251,155.192320707,-2700
4.11845851081,155.006619533,-2700
3.2399646035,155.197102169,-2750
4.14102442602,155.001726596,-2750
14.8599601755,152.677554374,-3350
15.5310525959,152.532042319,-3350
13.6657468466,152.936494021,-3900
13.6893374351,152.931378906,-3900
8.83667753157,153.983574536,-1200
8.9295437457,153.963438481,-1200
14.9410440124,152.659973076,-3300
15.3937006489,152.561824155,-3300
14.7922342177,152.692239301,-3400
15.6594458314,152.504202989,-3400
3.55325471405,155.129171901,-2150
3.82463099239,155.070329753,-2150
3.5301313477,155.134185709,-2200
3.87208993366,155.060039295,-2200
3.50700810771,155.13919949,-2250
3.91461398356,155.050818863,-2250
3.48388499406,155.144213243,-2300
3.93147100699,155.047163778,-2300
3.45273872764,155.150966645,-2350
3.9494744155,155.043260123,-2350
3.41584380844,155.15896652,-2400
3.97402962008,155.037935852,-2400
3.3781669301,155.167135946,-2450
3.99858441919,155.032611668,-2450
3.6676353975,155.104370893,-2100
3.77142119502,155.08186716,-2100
8.38962357853,154.080508635,-1900
9.66720557135,153.803492274,-1900
8.35986458399,154.086961237,-1950
9.77085345733,153.781018444,-1950
8.3246941487,154.094587195,-2000
9.91284370201,153.750230893,-2000
8.28783895683,154.102578456,-2050
10.1137037678,153.706678679,-2050
8.25148368966,154.110461319,-2100
10.3270497929,153.660419151,-2100
8.21561817645,154.118237989,-2150
10.491174358,153.624832245,-2150
8.50787079453,154.054869252,-1700
9.37530144202,153.866785448,-1700
