x2,y,ELEV
82.823262943,134.979925756,-2900
83.37331813,135.07631156,-2900
83.8847155055,135.165923382,-2800
83.981543525,135.182890491,-2800
87.9343088167,135.875530919,-2100
88.7758029273,136.022985372,-2100
87.9806915323,135.883658532,-2050
88.7349046572,136.015818795,-2050
88.0272939976,135.891824651,-2000
88.6915376962,136.008219632,-2000
88.0741110653,135.900028374,-1950
88.6448737382,136.000042737,-1950
88.137050096,135.911057139,-1900
88.5801921588,135.988708627,-1900
88.227212803,135.92685629,-1850
88.5020638481,135.975018255,-1850
87.7207338384,135.838106318,-2450
88.9994658723,136.062177681,-2450
87.7445371558,135.842277358,-2400
88.9711030056,136.057207674,-2400
87.7719074915,135.847073443,-2350
88.9378757104,136.051385278,-2350
87.8041209817,135.852718192,-2300
88.9057585517,136.045757409,-2300
87.8364191254,135.858377774,-2250
88.874684623,136.040312346,-2250
87.8687552619,135.864044014,-2200
88.843611829,136.034867481,-2200
87.9011311772,135.869717224,-2150
88.8125401695,136.029422814,-2150
87.5570122836,135.809417499,-2800
89.2042211445,136.098056811,-2800
87.5780316915,135.813100716,-2750
89.1783960011,136.093531488,-2750
87.6013017301,135.81717831,-2700
89.1525713445,136.089006251,-2700
87.6251533581,135.821357814,-2650
89.1192792837,136.083172505,-2650
87.6490632065,135.825547521,-2600
89.085862597,136.077316921,-2600
87.6730314798,135.829747466,-2550
89.0555155909,136.071999236,-2550
87.6969304349,135.833935264,-2500
89.0274903497,136.067088391,-2500
87.4119820448,135.784003947,-3150
89.4017197703,136.132664363,-3150
87.4325289047,135.78760436,-3100
89.3745023148,136.127895067,-3100
87.4530740645,135.791204474,-3050
89.3487835799,136.12338839,-3050
87.4736047488,135.794802053,-3000
89.3230652379,136.118881782,-3000
87.4941586256,135.798403695,-2950
89.2913491983,136.113324201,-2950
87.5149724119,135.802050881,-2900
89.2590687748,136.107667724,-2900
87.5359928374,135.805734276,-2850
89.2300467749,136.102582219,-2850
74.8357159888,133.580273225,-2950
79.7069892771,134.433863198,-2950
74.764415545,133.567779296,-3050
79.8963814291,134.467050259,-3050
64.2416759821,131.723886653,-5100
64.6104109655,131.788499839,-5100
64.0438601229,131.689223512,-5050
64.7861692794,131.819297851,-5050
75.053870389,133.618500275,-2650
79.4152361741,134.382739496,-2650
75.017607945,133.612146032,-2700
79.4554416519,134.389784675,-2700
74.9811875072,133.605764103,-2750
79.4967529239,134.397023622,-2750
74.9446080099,133.599354302,-2800
79.5403598761,134.404664839,-2800
74.9073245961,133.592821154,-2850
79.5863244658,134.412719184,-2850
74.871397149,133.586525611,-2900
79.6427367764,134.422604275,-2900
74.8000538473,133.574024172,-3000
79.7821992958,134.4470422,-3000
75.3294993504,133.666798555,-2300
79.1809817862,134.341691256,-2300
75.2871367337,133.659375382,-2350
79.2127407827,134.347256364,-2350
75.2430686889,133.651653368,-2400
79.2439961849,134.352733227,-2400
75.2070713403,133.645345576,-2450
79.2776731814,134.358634425,-2450
75.168926538,133.638661488,-2500
79.3117575617,134.364607008,-2500
75.130471131,133.631922972,-2550
79.3459701894,134.370602064,-2550
75.0905739036,133.624931808,-2600
79.3803817744,134.376631983,-2600
75.6290852867,133.719294799,-1950
78.9541268037,134.301939608,-1950
75.5824688307,133.711126228,-2000
78.9872378315,134.307741632,-2000
75.5407033898,133.703807698,-2050
79.0202168239,134.313520519,-2050
75.4989389065,133.696489335,-2100
79.0528326333,134.319235765,-2100
75.4552571231,133.688835005,-2150
79.0852127268,134.324909707,-2150
75.4089947359,133.680728478,-2200
79.1171492338,134.33050592,-2200
75.3698400731,133.673867433,-2250
79.14907225,134.336099769,-2250
75.966354864,133.778394322,-1600
78.7051835877,134.258317455,-1600
75.9176842489,133.769865803,-1650
78.7436606187,134.265059759,-1650
75.8671951415,133.76101863,-1700
78.779646376,134.271365519,-1700
75.8156778199,133.751991284,-1750
78.8154784942,134.277644358,-1750
75.7647710251,133.74307092,-1800
78.851157985,134.283896451,-1800
75.7171545663,133.73472712,-1850
78.8863323562,134.290060033,-1850
75.673119234,133.727010838,-1900
78.9208829223,134.296114305,-1900
76.3243230095,133.841120842,-1250
78.3999814775,134.204837092,-1250
76.2722234928,133.831991478,-1300
78.4466590521,134.213016372,-1300
76.2236463742,133.823479342,-1350
78.4930971238,134.221153685,-1350
76.17087679,133.814232563,-1400
78.5392975919,134.229249362,-1400
76.1178981092,133.804949144,-1450
78.5822307117,134.236772504,-1450
76.0706387953,133.796667926,-1500
78.6234410055,134.243993756,-1500
76.0191249753,133.787641194,-1550
78.6644251185,134.251175375,-1550
76.7256203628,133.91143991,-900
78.0076077099,134.136081698,-900
76.6589578121,133.899758675,-950
78.0720717522,134.147377689,-950
76.6000882592,133.889443003,-1000
78.1319525189,134.157870556,-1000
76.543080818,133.879453627,-1050
78.1917062893,134.16834117,-1050
76.4855095253,133.869365448,-1100
78.2458215667,134.177823754,-1100
76.4315505277,133.859910248,-1150
78.2980187978,134.18697024,-1150
