ELEV,y2,x2
-5600,138.627581383,24.438470536
-5600,130.966231902,34.4360898186
-5550,138.650650565,24.4083665842
-5550,130.364596688,35.2211890805
-5500,138.672676578,24.3796239069
-5500,130.180278346,35.461713888
-2600,109.600297882,62.3174016536
-2600,107.07491766,65.6128772175
-2650,109.617053845,62.2955360872
-2650,107.056134561,65.6373880776
-2800,109.663614951,62.2347765284
-2800,107.002585426,65.7072666109
-2750,109.649248561,62.2535238401
-2750,107.019632012,65.6850217997
-2700,109.63380987,62.2736704417
-2700,107.037148608,65.6621636524
-4700,122.584944674,45.3731863467
-4700,122.492110665,45.4943293749
-4900,123.034784633,44.7861711399
-4900,121.998936592,46.1378931013
-4850,122.957881455,44.8865253524
-4850,122.082281252,46.0291331263
-4800,122.870469389,45.0005930573
-4800,122.168465234,45.9166679993
-4750,122.78425352,45.1130997956
-4750,122.290095353,45.757947708
-5250,121.115044768,47.2913209616
-5250,120.981465657,47.465633999
-4900,117.12940414,52.4923521512
-4900,116.717172277,53.0302909605
-3650,153.662035913,4.81937433344
-3650,150.151625703,9.4002572302
-3700,153.622294335,4.87123480107
-3700,150.335517866,9.16028856137
-5400,138.718948794,24.3192413341
-5400,129.488876728,36.3639531291
-5400,125.059008683,42.1446754807
-5400,123.967125019,43.569520699
-5450,138.696301925,24.3487941913
-5450,129.931478257,35.7863836572
-5450,124.771099261,42.5203806745
-5450,124.083015403,43.4182904312
-5050,138.849819724,24.1484623168
-5050,123.279640664,44.4666481383
-5050,121.783747317,46.4187026961
-5050,119.622489729,49.2390192201
-5050,113.047641159,57.8188174669
-5050,111.557639075,59.7631842654
-5100,138.833531637,24.169717331
-5100,123.359427866,44.3625304416
-5100,121.687147702,46.5447596234
-5100,119.831305025,48.9665272997
-5150,138.816558144,24.19186676
-5150,123.448709645,44.2460228681
-5150,121.537740743,46.73972709
-5150,120.578170795,47.9919105381
-5150,120.470483595,48.1324361251
-5150,120.092622299,48.6255233261
-5200,138.798855041,24.2149682888
-5200,123.531436874,44.1380686041
-5200,121.299684595,47.0503766352
-5200,120.786582771,47.7199449271
-5250,138.780374237,24.2390846733
-5250,123.628867597,44.0109271289
-5300,138.761063316,24.2642843107
-5300,123.725801252,43.884434299
-5350,138.740676759,24.2908875925
-5350,128.999537224,37.0025129653
-5350,125.283416885,41.8518357176
-5350,123.841573217,43.7333585603
-4700,139.044421157,23.8945186685
-4700,110.856632531,60.6779573825
-4700,105.330739828,67.8889287104
-4700,103.403578134,70.4037635918
-4700,101.839614913,72.4446454091
-4700,101.44603159,72.9582489502
-4750,139.013506239,23.9348608531
-4750,111.0071138,60.4815880042
-4750,105.261312525,67.9795273367
-4750,103.433205837,70.365101148
-4800,138.985102507,23.9719260865
-4800,111.131260141,60.3195841877
-4800,105.176815317,68.0897913217
-4800,103.46391619,70.3250259084
-4850,138.955910212,24.0100203478
-4850,115.7229095,54.3277465506
-4850,115.622539576,54.4587235142
-4850,111.218782346,60.2053727564
-4850,105.061998056,68.2396212255
-4850,103.511587651,70.2628174002
-4900,138.925896026,24.0491871296
-4900,117.543135974,51.9524559651
