x2,y,ELEV
62.7496821348,138.078825838,-4700
66.4263180781,140.032068386,-4700
62.642839196,138.022064664,-4750
66.5762458892,140.111718746,-4750
58.7571043285,135.957736623,-5900
59.1978155615,136.191868026,-5900
58.5779940809,135.862582857,-5850
59.2505546598,136.219886098,-5850
65.1720723607,139.365740215,-2800
65.3054123726,139.436578174,-2800
65.0533642523,139.302675574,-2950
65.4164536176,139.495569732,-2950
65.083303856,139.31858123,-2900
65.3839793017,139.47831749,-2900
65.1175503662,139.336774965,-2850
65.3472622543,139.458811262,-2850
64.8593668256,139.199612874,-3300
65.5512941802,139.567204871,-3300
64.8827131992,139.212015823,-3250
65.5348228255,139.55845433,-3250
64.9079900105,139.225444333,-3200
65.5180587512,139.549548281,-3200
64.9341275249,139.239330099,-3150
65.5009940747,139.540482533,-3150
64.9633306419,139.254844491,-3100
65.4831520319,139.531003804,-3100
64.9934057373,139.270822128,-3050
65.4640815201,139.52087244,-3050
65.0234255768,139.286770411,-3000
65.4439309663,139.510167296,-3000
64.6927205063,139.11108067,-3650
65.661269058,139.625629913,-3650
64.7166466585,139.123791632,-3600
65.6446870843,139.616820605,-3600
64.7405730691,139.136502731,-3550
65.6281052295,139.608011361,-3550
64.764499738,139.149213967,-3500
65.6115234937,139.59920218,-3500
64.789330361,139.162405436,-3450
65.5973165309,139.591654616,-3450
64.8126754066,139.17480768,-3400
65.5833889056,139.584255453,-3400
64.8360208947,139.187210159,-3350
65.5674804245,139.575803944,-3350
64.5130120592,139.015609106,-4000
65.7707853501,139.683811328,-4000
64.5434869932,139.031799161,-3950
65.7553757262,139.675624841,-3950
64.5714019617,139.046629213,-3900
65.7399662091,139.66743841,-3900
64.5963633727,139.059890165,-3850
65.7245567989,139.659252037,-3850
64.6207589152,139.072850494,-3800
65.7091474956,139.65106572,-3800
64.6447897277,139.085617057,-3750
65.6932961299,139.642644554,-3750
64.6687649798,139.098354103,-3700
65.6773440701,139.634169893,-3700
62.175661908,137.773872955,-4950
67.7039724783,140.710832608,-4950
62.328446629,137.855041072,-4900
67.5176448272,140.611844538,-4900
62.4420173375,137.915376429,-4850
67.2221688489,140.454870537,-4850
62.5397517214,137.96729861,-4800
66.8284952779,140.245728272,-4800
64.4002140621,138.955684259,-4150
65.829466023,139.71498591,-4150
64.4479087137,138.981022428,-4100
65.8096398464,139.704453093,-4100
64.4804601674,138.99831565,-4050
65.7897242829,139.693872789,-4050
63.8945071855,138.687023395,-4350
65.912564822,139.759132818,-4350
63.5925554522,138.526609097,-4400
65.939168747,139.773266368,-4400
63.4129414162,138.43118769,-4450
65.9863727142,139.798343857,-4450
63.2646226322,138.352392137,-4500
66.0377133698,139.825618995,-4500
63.1284584602,138.280053821,-4550
66.0926348344,139.854796467,-4550
62.9977073361,138.21059123,-4600
66.1778655758,139.900075987,-4600
62.8694984603,138.142479229,-4650
66.3050056612,139.967620184,-4650
62.0039468686,137.682647953,-5000
67.8401828978,140.783195493,-5000
64.336900311,138.922048317,-4200
65.8493241302,139.725535689,-4200
64.2639786565,138.883308099,-4250
65.8700299213,139.736535808,-4250
64.1321070141,138.813250223,-4300
65.890735952,139.747536054,-4300
59.8771631892,136.552776942,-5400
60.2853860935,136.769648658,-5350
60.8867014821,137.089102316,-5200
68.3814435773,141.070744602,-5200
61.3306396615,137.32494806,-5150
68.21033212,140.979840258,-5150
61.495622101,137.412596314,-5100
68.0807742656,140.911011601,-5100
61.7668345563,137.556680122,-5050
67.9629701928,140.848427236,-5050
60.4614609089,136.863189826,-5300
59.6332662435,136.423204719,-5450
60.6410003811,136.958571621,-5250
68.7236060255,141.252521167,-5250
23.3763638104,117.161432389,-5700
30.1432534812,120.756397195,-5700
30.6632758025,121.032663255,-5700
34.3097742975,122.969895039,-5700
37.7916301497,124.81965909,-5700
51.6148079322,132.163333962,-5700
53.3703471086,133.095978332,-5700
59.3732109469,136.285048242,-5700
23.4160318961,117.18250638,-5750
30.0919567969,120.729145417,-5750
30.6899156055,121.046815865,-5750
33.5588169711,122.570942893,-5750
39.2332085973,125.585509287,-5750
51.5843671295,132.147162039,-5750
53.4124546699,133.118348314,-5750
59.3339486833,136.264189847,-5750
56.8242641686,134.930899673,-5750
57.3492662888,135.209811291,-5750
58.8844697855,136.025400551,-5950
59.11938206,136.150199595,-5950
26.4761814535,118.808235555,-6650
26.9688084693,119.069947637,-6650
21.8221298908,116.335733063,-4850
22.6525516722,116.776901344,-4850
21.6987414378,116.270181951,-4900
22.7216977193,116.81363574,-4900
25.0760101426,118.064383234,-5750
25.8680542535,118.485163067,-5750
25.0113788063,118.030047315,-5800
25.8963121152,118.500175284,-5800
24.9546113457,117.999889143,-5850
25.9253984942,118.515627658,-5850
30.3169090139,120.8486531,-5500
30.5538297285,120.974519144,-5500
30.3582718068,120.870627418,-5450
30.5258208454,120.959639198,-5450
30.394646721,120.889951885,-5400
30.4982594047,120.94499696,-5400
23.4972726123,117.225666167,-5850
29.1607396809,120.234428801,-5850
30.7461500056,121.076690845,-5850
32.7961132587,122.165750384,-5850
42.7717712451,127.465399281,-5850
43.4637534166,127.833020399,-5850
45.1310234088,128.718771052,-5850
48.3272951682,130.416816247,-5850
49.9381907934,131.272617562,-5850
51.519729454,132.112822752,-5850
53.501745893,133.165784997,-5850
54.1082327772,133.487986054,-5850
26.1400173672,118.629645668,-6250
28.0765611803,119.658450214,-6250
26.1126053548,118.615082815,-6200
28.1796229431,119.713202608,-6200
23.456651808,117.204086037,-5800
29.4013212905,120.362239725,-5800
30.7175224769,121.061482239,-5800
33.0615021711,122.306740388,-5800
40.2144505186,126.106801984,-5800
41.7789518811,126.937955973,-5800
42.2240015514,127.174392205,-5800
51.5529168829,132.130453842,-5800
53.4566596954,133.141832591,-5800
56.4055341137,134.708445949,-5800
57.6720594261,135.381297753,-5800
59.2927651533,136.242310764,-5800
25.2749063371,118.170048445,-5600
25.7787360171,118.437712032,-5600
25.4306415394,118.252784029,-5500
25.6912636391,118.391241625,-5500
25.2058189391,118.133345206,-5650
25.8116320578,118.45518832,-5650
25.1404629883,118.098624329,-5700
25.8398429456,118.470175582,-5700
23.9474972285,117.464851632,-6200
24.4295672776,117.72095524,-6200
23.8430267741,117.409350859,-6150
24.5317792529,117.775256178,-6150
25.3477915572,118.208769307,-5550
25.7441281129,118.419326304,-5550
22.1298442242,116.499208789,-4750
22.443629764,116.665909892,-4750
21.951372318,116.404394147,-4800
22.5704823298,116.733301342,-4800
50.6557867303,131.6538462,-5900
51.4441119332,132.072650333,-5900
53.5638089955,133.198756522,-5900
53.798297741,133.323330562,-5900
51.0819768735,131.880263157,-5950
51.3580565272,132.026932703,-5950
26.4032521442,118.76949127,-6600
27.1831290062,119.183807154,-6600
26.3431563136,118.737564875,-6550
27.3465210549,119.2706105,-6550
26.2632135794,118.695094651,-6450
27.6247554393,119.418424764,-6450
26.2293770589,118.677118727,-6400
27.7537227943,119.486939713,-6400
26.1992291243,118.661102393,-6350
27.8637401848,119.545387341,-6350
26.006826752,118.558887078,-6000
28.6467288106,119.961356374,-6000
30.8687795213,121.141838766,-6000
32.4515461771,121.982696338,-6000
26.170076908,118.645615042,-6300
27.9729259385,119.603393155,-6300
25.9827727077,118.546108173,-5950
28.7937967368,120.039487398,-5950
30.8217594602,121.116858978,-5950
32.5405255819,122.029967366,-5950
25.9547697431,118.531231372,-5900
28.9727607473,120.134563474,-5900
30.776627485,121.092882252,-5900
32.6472558142,122.086668664,-5900
26.0870214952,118.601491183,-6150
28.2846858688,119.769018136,-6150
26.0598520542,118.587057198,-6100
28.3915551216,119.82579329,-6100
26.0330939961,118.572841764,-6050
28.5129905139,119.890306823,-6050
30.9205231129,121.169327967,-6050
32.3719319506,121.940400637,-6050
26.3018445192,118.71561765,-6500
27.4910391668,119.347386914,-6500
23.337356677,117.140709535,-5650
30.1892034396,120.780808482,-5650
30.6385324749,121.019518162,-5650
34.5550583165,123.100204156,-5650
35.824229361,123.774461527,-5650
36.461951862,124.113256758,-5650
37.5163307097,124.673404038,-5650
51.6442871749,132.178995047,-5650
53.3431785511,133.081544816,-5650
59.4121557799,136.305737999,-5650
23.2983505058,117.119987191,-5600
30.2326885665,120.803910307,-5600
30.6156634183,121.007368791,-5600
34.7680102964,123.213336616,-5600
35.5287362363,123.617478417,-5600
51.6718348067,132.193629949,-5600
53.3158963408,133.067050921,-5600
59.4519448158,136.326876246,-5600
23.2613119715,117.100310171,-5550
30.2685672537,120.822971149,-5550
30.5834751075,120.990268491,-5550
51.6961446655,132.206544758,-5550
53.2885287293,133.052511657,-5550
59.4904754306,136.347345946,-5550
23.2257125745,117.081397703,-5500
51.7162950461,132.217249811,-5500
53.2610753101,133.037926806,-5500
59.5416395932,136.374527321,-5500
23.1506330907,117.041511121,-5400
51.7561757139,132.238436738,-5400
53.2059045167,133.008616876,-5400
23.1880047214,117.061365102,-5450
51.7363046026,132.227880049,-5450
53.2335356742,133.023296152,-5450
22.8740312875,116.894564178,-5050
51.8896658233,132.309354437,-5050
53.0136018237,132.906454517,-5050
22.9178182617,116.917826362,-5100
51.8716589494,132.299788139,-5100
53.0420727472,132.921579925,-5100
22.9596579528,116.940054036,-5150
51.8536545942,132.29022318,-5150
53.0701842955,132.936514412,-5150
22.9996164932,116.961282333,-5200
51.8343964712,132.279992147,-5200
53.0983190574,132.951461232,-5200
23.0395762742,116.98251129,-5250
51.8149589921,132.269665829,-5250
53.1261830064,132.96626418,-5250
23.077179022,117.002488054,-5300
51.7954708185,132.259312579,-5300
53.1537800502,132.980925332,-5300
23.1139055907,117.02199934,-5350
51.7759098167,132.248920639,-5350
53.1806696951,132.995210673,-5350
20.8487969364,115.818642068,-4700
52.0252441515,132.381381519,-4700
52.8042088057,132.795212784,-4700
20.8860554732,115.838435967,-4750
52.0045832475,132.370405247,-4750
52.8375596653,132.812930698,-4750
20.9368774629,115.865435559,-4800
51.9848816599,132.359938619,-4800
52.8695455917,132.82992348,-4800
20.988589743,115.892908126,-4850
51.9654045367,132.34959124,-4850
52.8987913206,132.84546051,-4850
21.0497088494,115.925378145,-4900
51.9461480713,132.339361087,-4900
52.9278830159,132.860915708,-4900
22.7753806415,116.842155226,-4950
51.9271085427,132.329246184,-4950
52.9567129871,132.876231863,-4950
22.8274283295,116.86980598,-5000
51.9082823125,132.319244597,-5000
52.9852847667,132.891410852,-5000
20.8115392031,115.798848596,-4650
52.0523510978,132.395782303,-4650
52.7700297102,132.777054864,-4650
-17.115906256,95.649586788,-4550
20.7383905279,115.759987771,-4550
52.1132428519,132.428131539,-4550
52.7013855556,132.740587102,-4550
-19.3825147168,94.445432732,-4600
-17.9716838724,95.194948016,-4600
-17.7584945388,95.308206572,-4600
20.7721656105,115.777931057,-4600
52.0822084771,132.411644277,-4600
52.7355886905,132.758757794,-4600
-12.5255837806,98.088232688,-4350
14.1131378821,112.240268779,-4350
15.3409340255,112.8925454,-4350
20.6018062208,115.687426255,-4350
52.3136849701,132.534618034,-4350
52.4350736738,132.599106764,-4350
-12.9115626467,97.883178297,-4400
14.2368084498,112.305969768,-4400
15.2046446535,112.82014057,-4400
20.636744701,115.705987605,-4400
52.2246175417,132.487300243,-4400
52.5492946317,132.65978757,-4400
-13.6371811545,97.497687602,-4450
14.4122872943,112.399194321,-4450
15.0195464076,112.721805631,-4450
20.669216196,115.723238349,-4450
52.1712652905,132.458956429,-4450
52.6010426664,132.687279132,-4450
-14.6033457761,96.984404842,-4500
20.7043314793,115.741893627,-4500
52.1428364948,132.443853401,-4500
52.6514017678,132.714032811,-4500
-12.2819531707,98.217663417,-4300
14.0047795993,112.182702566,-4300
15.4534098222,112.952299075,-4300
20.5665864221,115.668715452,-4300
-11.5793890847,98.590906264,-4250
13.9106922252,112.132717889,-4250
15.5559418862,113.006770063,-4250
20.5335476716,115.651163349,-4250
-9.08592156291,99.915581029,-4000
13.4534218469,111.889789306,-4000
17.9690838031,114.288771201,-4000
20.3576394701,115.557710696,-4000
-9.8860132987,99.490525831,-4050
13.5552470839,111.943884786,-4050
16.0342755936,113.260888709,-4050
16.4278157184,113.46996008,-4050
17.8658039294,114.233902934,-4050
20.3999624782,115.580195136,-4050
-10.2616953877,99.290941686,-4100
13.6457663794,111.991973893,-4100
15.8756231753,113.17660333,-4100
16.6789847438,113.603395654,-4100
17.7517754525,114.173324384,-4100
20.4384673402,115.600651155,-4100
-10.7027566597,99.056624322,-4150
13.7341157353,112.038910202,-4150
15.7567200917,113.113435106,-4150
17.0772569345,113.814980972,-4150
17.5999421594,114.092661721,-4150
20.4731718529,115.619088208,-4150
-11.0413680384,98.876734291,-4200
13.8210229775,112.085080376,-4200
15.6557577076,113.059798024,-4200
20.5033594606,115.635125618,-4200
-6.11683722248,101.492931071,-3650
12.409661056,111.335282954,-3650
-6.3499681166,101.3690784,-3700
12.5222750213,111.395110032,-3700
19.6418507592,115.177442161,-3700
19.9649086514,115.349069276,-3700
-6.53605950976,101.270215844,-3750
12.6817949703,111.479856294,-3750
19.5290591045,115.117520683,-3750
20.0778873145,115.409090103,-3750
-6.79155154584,101.134483636,-3800
12.8616006845,111.575379532,-3800
19.4261921953,115.062871806,-3800
20.1526790192,115.448823801,-3800
-7.09997809913,100.970629538,-3850
13.0393235557,111.669796243,-3850
18.4364119033,114.53704303,-3850
18.847478072,114.755425253,-3850
19.3128694988,115.002668208,-3850
20.2091498259,115.478824373,-3850
-8.01303384164,100.485561299,-3900
13.2004546445,111.755398436,-3900
18.2092766156,114.416375573,-3900
18.9458391722,114.807680382,-3900
19.20507273,114.945400304,-3900
20.2635373853,115.507718203,-3900
-8.4670884334,100.244341128,-3950
13.3375188385,111.828214896,-3950
18.083795185,114.34971255,-3950
19.0203375594,114.847258252,-3950
19.1067535697,114.893167456,-3950
20.3112031912,115.533041048,-3950
-3.56236055702,102.850017437,-3300
11.9665108159,111.099855808,-3300
-3.74742121956,102.751702465,-3350
12.0173918775,111.126886783,-3350
-4.08312183364,102.573358802,-3400
12.0690242396,111.154316893,-3400
-4.83700974311,102.172849759,-3450
12.1226376688,111.18279946,-3450
-5.08348298434,102.041908859,-3500
12.1826206932,111.214665927,-3500
-5.37266369125,101.888279272,-3550
12.2470981416,111.248920092,-3550
-5.73935766442,101.693470136,-3600
12.3201334416,111.287720685,-3600
-2.76256660547,103.274914435,-2950
-0.0928756904124,104.693209302,-2950
0.411179887921,104.9609929,-2950
2.15345404511,105.886590121,-2950
5.1171756429,107.461091163,-2950
11.5850923149,110.897224148,-2950
-2.86621323341,103.219851327,-3000
0.0149462272778,104.750490566,-3000
0.287373960314,104.895220001,-3000
2.22914140785,105.926799644,-3000
3.49735488399,106.600548299,-3000
4.37076373233,107.064553806,-3000
5.05962526117,107.430517058,-3000
11.6457420462,110.929444808,-3000
-2.9549078474,103.172731596,-3050
2.31238639985,105.971024219,-3050
3.42331587289,106.561214476,-3050
4.47148711507,107.118063917,-3050
5.00153469037,107.399655973,-3050
11.7049652648,110.960907621,-3050
-3.04888406208,103.122805973,-3100
2.41043816782,106.023115013,-3100
3.35647460538,106.525704513,-3100
4.55122568933,107.160425678,-3100
4.92608927237,107.359574985,-3100
11.7617510665,110.991075537,-3100
-3.14784802824,103.070230567,-3150
4.66393587997,107.220303878,-3150
4.83421936713,107.310768356,-3150
11.8154098107,111.019582179,-3150
-3.26723358315,103.006806026,-3200
11.8614369403,111.044034463,-3200
-3.4012100615,102.93562994,-3250
11.9126771962,111.071256263,-3250
-2.59707452482,103.36283344,-2850
-0.256975198306,104.606030112,-2850
0.638483934642,105.081750011,-2850
2.00167873807,105.805958263,-2850
