ELEV,y2,x2
-5600,121.53293746,-19.244876976
-5600,120.493843039,-19.0946320275
-5550,121.575379274,-19.2510137312
-5550,120.450722444,-19.0883971258
-5500,121.617755337,-19.2571409795
-5500,120.406123602,-19.0819484812
-4800,167.171599167,-25.843871486
-4800,166.724809941,-25.7792692488
-4800,165.633904192,-25.6215327864
-4800,163.821065999,-25.3594105235
-4800,143.3694864,-22.4022716318
-4850,167.290372842,-25.8610452329
-4850,166.542029071,-25.7528405606
-4850,165.685540776,-25.6289990336
-4850,163.698737491,-25.3417227753
-4850,143.470066647,-22.416814751
-5100,167.672352281,-25.9162764805
-5050,167.585622998,-25.9037361026
-5000,167.52995775,-25.8956873419
-4950,167.460237495,-25.8856063368
-4550,165.396228836,-25.5871667837
-4550,164.799058846,-25.5008206609
-4500,165.326733793,-25.5771183425
-4500,164.911758644,-25.5171161727
-4450,165.193295912,-25.5578242657
-4450,165.138527656,-25.5499052031
-5200,168.240324991,-25.9984009043
-5200,167.877134588,-25.9458864048
-5150,167.756815216,-25.9284891621
-4800,162.119930954,-25.1134396644
-4800,161.224602197,-24.9839821096
-4850,162.328021424,-25.1435279234
-4850,161.111272949,-24.9675955842
-4950,163.336285317,-25.289315018
-4950,162.884091462,-25.2239313135
-4950,156.403787876,-24.2869299601
-4950,156.012647362,-24.2303740926
-4750,161.930936141,-25.0861124886
-4750,161.384108075,-25.0070454154
-4700,161.686209359,-25.0507269047
-4700,161.588805136,-25.0366430138
-4900,155.681304814,-24.1824645446
-4900,154.05712703,-23.9476211054
-4850,158.754770456,-24.626863704
-4850,158.143738418,-24.5385132372
-4950,153.886979854,-23.9230191508
-4950,152.142043869,-23.6707150176
-5000,153.701520723,-23.8962032071
-5000,152.42964835,-23.7123003822
-5050,153.442054144,-23.8586863634
-5050,152.743095914,-23.7576224552
-4850,155.445665501,-24.1483929379
-4850,154.272261468,-23.9787278671
-4800,154.746933076,-24.0473616793
-4800,154.730311717,-24.0449583604
-5000,145.362273878,-22.6904131577
-5000,143.839988367,-22.4703025465
-5100,144.736700224,-22.5999600868
-5100,144.446152713,-22.5579491828
-4950,148.86957285,-23.1975412329
-4950,146.874039482,-22.9090026726
-5000,148.63012565,-23.1629190354
-5000,147.159974979,-22.9503467152
-5050,148.386649715,-23.1277143143
-5050,147.453960405,-22.9928547148
-5400,121.701138955,-19.2691976002
-5400,120.316155961,-19.068939862
-5450,121.659492216,-19.2631758067
-5450,120.361281025,-19.0754645943
-5050,122.005965264,-19.3132731069
-5050,119.756285374,-18.9879869419
-5100,121.956725445,-19.3061534133
-5100,119.838874365,-18.9999286659
-5150,121.913763597,-19.2999414651
-5150,119.923767606,-19.0122035664
-5200,121.870718736,-19.2937175139
-5200,120.02056147,-19.0261992041
-5250,121.827589263,-19.2874813285
-5250,120.114093709,-19.0397232363
-5300,121.784315005,-19.2812242083
-5300,120.189093268,-19.0505675876
-5350,121.74256961,-19.2751881499
-5350,120.26319128,-19.0612815821
-4700,122.443603129,-19.3765521288
-4700,119.315878292,-18.9243075129
-4750,122.367296264,-19.3655187512
-4750,119.369539976,-18.9320665739
-4800,122.292078534,-19.3546428542
-4800,119.427288267,-18.9404165264
-4850,122.224379197,-19.3448540581
-4850,119.485843131,-18.948883103
-4900,122.158487076,-19.3353265714
-4900,119.544908315,-18.957423468
-4950,122.105810729,-19.3277099825
-4950,119.613615951,-18.9673580562
-5000,122.055884332,-19.3204910148
-5000,119.682736518,-18.9773523511
-4650,122.524427316,-19.3882386757
-4650,119.263899751,-18.9167918214
-4550,142.863939568,-22.3291735031
-4550,122.653563316,-19.4069107341
-4550,119.162665031,-18.9021540705
-4600,165.442503664,-25.5938577629
-4600,164.67513455,-25.4829021743
-4600,142.977762933,-22.3456314738
-4600,122.588865687,-19.3975559616
-4600,119.212602186,-18.9093745936
-4350,142.440233161,-22.2679088614
-4350,122.874852934,-19.4389074869
-4350,118.979631852,-18.8756889004
-4400,142.533806627,-22.2814388548
-4400,122.82293979,-19.4314012512
-4400,119.023986154,-18.8821021866
-4450,142.635188142,-22.296097831
-4450,122.770082929,-19.4237585613
-4450,119.069571385,-18.8886934553
-4500,142.749982251,-22.3126961639
-4500,122.71653629,-19.416016135
-4500,119.115733837,-18.8953681858
-4300,142.336495174,-22.2529091577
-4300,122.921670151,-19.4456768913
-4300,118.934187369,-18.8691179826
-4250,142.23838969,-22.2387238698
-4250,122.963855014,-19.4517764934
-4250,118.889882097,-18.8627117859
-4000,139.718790273,-21.8744094466
-4000,135.885428693,-21.3201352616
-4000,132.987956004,-20.9011833105
-4000,132.275002666,-20.7980958188
-4000,129.784282169,-20.437957062
-4000,125.584246607,-19.8306646792
-4000,124.983930077,-19.7438635914
-4000,123.154611948,-19.4793584583
-4000,118.664794726,-18.8301659077
-4050,139.90109689,-21.9007695615
-4050,135.811119399,-21.3093907173
-4050,133.060325011,-20.9116473045
-4050,132.207221981,-20.7882952603
-4050,129.837160864,-20.4456029089
-4050,125.499742536,-19.8184460497
-4050,125.037937741,-19.7516726783
-4050,123.120199734,-19.4743827204
-4050,118.71088258,-18.8368298519
-4100,141.741084096,-22.1668173599
-4100,141.588379836,-22.144737515
-4100,140.135033797,-21.9345950136
-4100,123.085419425,-19.4693537592
-4100,118.757261836,-18.8435359305
-4150,141.997638313,-22.2039130985
-4150,141.25370454,-22.0963460776
-4150,140.400164496,-21.9729308447
-4150,123.045683512,-19.463608256
-4150,118.803132842,-18.8501685203
-4200,142.127899117,-22.2227477948
-4200,123.005454712,-19.4577914853
-4200,118.846299752,-18.8564101187
-3650,72.571309053,-12.1654073998
-3650,71.3256272705,-11.9852915301
-3650,70.4540240946,-11.8592645092
-3650,67.9948446122,-11.5036863372
-3650,64.9648977964,-11.0655796606
-3650,63.9492316456,-10.9187222572
-3700,72.5944737337,-12.1687568319
-3700,71.2512991536,-11.9745442641
-3700,70.5408917203,-11.8718248903
-3700,67.9448527921,-11.4964579099
-3700,65.0377470532,-11.0761130949
-3700,63.874695621,-10.9079449294
-3700,62.3220160014,-10.6834395671
-3750,139.205597212,-21.8002057328
-3750,136.269119622,-21.3756139773
-3750,72.6175644438,-12.1720955685
-3750,67.8829192661,-11.4875028051
-3750,65.1223103038,-11.0883402814
-3800,139.279712995,-21.810922297
-3800,136.194294809,-21.3647948928
-3800,129.574840836,-20.4076734789
-3800,125.918983195,-19.879064979
-3800,124.800814096,-19.7173864487
-3800,123.283693735,-19.4980226779
-3800,72.6405815336,-12.1754236602
-3850,139.370189312,-21.8240044667
-3850,136.118085262,-21.3537755868
-3850,132.616079966,-20.847412936
-3850,132.548191702,-20.8375968225
-3850,129.628437613,-20.4154231549
-3850,125.835539341,-19.8669996486
-3850,124.847382899,-19.7241199344
-3850,123.25610241,-19.4940331874
-3850,72.6635253514,-12.1787411573
-3900,139.463278198,-21.8374643935
-3900,136.040401029,-21.3425430526
-3900,132.80250518,-20.8743685678
-3900,132.430276523,-20.8205472074
-3900,129.680419531,-20.4229393347
-3900,125.75219614,-19.8549488718
-3900,124.888525361,-19.7300688135
-3900,123.222553288,-19.4891822461
-3900,118.567891276,-18.8161544246
-3950,139.581139099,-21.8545061604
-3950,135.962172293,-21.3312317876
-3950,132.90446222,-20.8891107606
-3950,132.343444618,-20.8079919912
-3950,129.732315447,-20.4304430794
-3950,125.673435797,-19.8435607404
-3950,124.929333911,-19.7359694115
-3950,123.188657499,-19.4842811794
-3950,118.619226894,-18.8235771546
-3400,70.1314307958,-11.8126200344
-3400,68.2440249612,-11.5397158721
-3450,70.1844444659,-11.8202853976
-3450,68.1924504092,-11.5322585941
-3500,72.4855044767,-12.1530007273
-3500,71.5012774431,-12.010689175
-3500,70.246521845,-11.8292613024
-3500,68.1449087815,-11.5253844456
-3550,72.5152750408,-12.1573053187
-3550,71.4469825758,-12.0028385607
-3550,70.3087700004,-11.8382619001
-3550,68.0943288694,-11.5180709848
-3600,72.5441041105,-12.1614737773
-3600,71.3872363165,-11.9941997176
-3600,70.3768256599,-11.8481022177
-3600,68.0439515593,-11.5107868187
-5650,121.490310092,-19.238713391
-5650,120.534654021,-19.1005329772
-5700,121.447634928,-19.2325428953
-5700,120.575406804,-19.1064255117
-5750,121.404725025,-19.226338458
-5750,120.616083458,-19.1123070386
-5800,121.357782889,-19.2195509913
-5800,120.656859412,-19.1182029236
-5950,121.221420968,-19.199834121
-5950,120.804394488,-19.1395353448
-5900,121.266249182,-19.2063159311
-5900,120.755193712,-19.1324212963
-5850,121.311839927,-19.2129079973
-5850,120.705737874,-19.1252703679
-6000,121.146169035,-19.1889532784
-6000,120.8636038,-19.1480965495
-6050,121.073213214,-19.1784044358
-6050,120.964905559,-19.1627439937
-4950,145.579631963,-22.7218414415
-4950,143.693679396,-22.4491474104
-5050,145.129892451,-22.656812616
-5050,144.038015815,-22.4989357708
-3000,138.272308675,-21.6652594898
-3000,137.316506018,-21.5270578806
-2900,138.077985872,-21.6371619282
-2900,137.519801295,-21.556452792
-2850,137.879175293,-21.6084154692
-2850,137.714374139,-21.5845865076
-2950,138.188818058,-21.6531873978
-2950,137.395147917,-21.5384288858
-3350,138.714953157,-21.7292624293
-3350,136.835612281,-21.4575243973
-3300,138.658747301,-21.721135501
