x2,y,ELEV
86.4057976166,124.923935699,-4700
89.5176798508,125.279705759,-4700
86.4386849146,124.927695583,-4650
89.4763804886,125.274984155,-4650
86.4697934504,124.931252108,-4600
89.4350812046,125.27026256,-4600
86.5008464452,124.934802283,-4550
89.3937819985,125.265540973,-4550
86.5318440628,124.938346126,-4500
89.3560642693,125.261228844,-4500
86.5627864664,124.941883658,-4450
89.3189404616,125.256984615,-4450
86.5927443497,124.945308632,-4400
89.281834312,125.252742406,-4400
86.3271948052,124.914949329,-4800
89.6057663784,125.289776368,-4800
86.3665901769,124.919453257,-4750
89.5589792875,125.284427372,-4750
57.8716435548,121.661730726,-5150
58.7079588375,121.757343579,-5150
57.840570636,121.658178273,-5200
58.7654634525,121.76391787,-5200
57.9178682835,121.667015429,-5100
58.6499338968,121.7507098,-5100
57.9767847199,121.673751129,-5050
58.5919063348,121.744075722,-5050
58.0252425506,121.679291134,-5000
58.502830918,121.733892057,-5000
58.1187950689,121.68998665,-4950
58.4007533209,121.722221901,-4950
55.8394150299,121.429393507,-6250
57.281434899,121.594254339,-6250
60.2571944062,121.934461988,-6250
60.3525409612,121.945362609,-6250
55.7811760364,121.422735257,-6200
57.3158959227,121.598194141,-6200
59.9858240083,121.903437208,-6200
60.555857321,121.968607021,-6200
55.5553178079,121.396913715,-6000
57.4309979937,121.611353338,-6000
59.619041716,121.861504336,-6000
61.0227723809,122.021987704,-6000
55.6132479467,121.403536655,-6050
57.4045846526,121.608333598,-6050
59.6998167535,121.870739049,-6050
60.8964551667,122.007546321,-6050
55.7252002919,121.416335755,-6150
57.3494918009,121.602035035,-6150
59.881648541,121.891527209,-6150
60.6867765849,121.98357454,-6150
55.6692242647,121.409936222,-6100
57.3781716122,121.605313892,-6100
59.7855371752,121.88053915,-6100
60.7863621398,121.99495979,-6100
52.3636679271,121.032024113,-3350
52.5065091176,121.048354622,-3350
87.6142670648,125.06209557,-2900
87.9788590006,125.103778026,-2900
87.4066212736,125.03835619,-3050
88.2132079146,125.130570277,-3050
87.4560545805,125.044007718,-3000
88.1519404567,125.123565793,-3000
87.5311647649,125.05259479,-2950
88.0684719633,125.114023147,-2950
87.1341067772,125.007200609,-3400
88.5530130448,125.169418948,-3400
87.1680436069,125.011080482,-3350
88.5129388013,125.164837407,-3350
87.2020401751,125.014967185,-3300
88.4672921925,125.159618798,-3300
87.236096622,125.018860733,-3250
88.4216456569,125.154400198,-3250
87.2703761064,125.022779781,-3200
88.3759992095,125.149181607,-3200
87.3096527677,125.027270137,-3150
88.3282075148,125.143717758,-3150
87.3579970379,125.03279716,-3100
88.270740445,125.137147759,-3100
87.0457808011,124.997102625,-3550
88.6728023429,125.183114019,-3550
87.0742369063,125.000355907,-3500
88.6328798863,125.178549831,-3500
87.1028844059,125.00363107,-3450
88.5929501219,125.173984808,-3450
86.988942257,124.990604483,-3650
88.7470470868,125.191602147,-3650
87.0173492599,124.993852151,-3600
88.7106245564,125.187438093,-3600
86.8046497884,124.969535002,-4000
88.9970727229,125.22018666,-4000
86.8304149098,124.972480634,-3950
88.9619556657,125.216171855,-3950
86.8561699593,124.975425114,-3900
88.9268288768,125.212155939,-3900
86.8819149452,124.978368444,-3850
88.891692349,125.208138909,-3850
86.9076498758,124.981310624,-3800
88.856279685,125.204090309,-3800
86.9332589453,124.984238415,-3750
88.8198746871,125.199928259,-3750
86.9605690187,124.987360675,-3700
88.7834637958,125.195765536,-3700
86.6197341659,124.948394279,-4350
89.2447458136,125.248502214,-4350
86.6464325699,124.951446609,-4300
89.2080237405,125.244303914,-4300
86.6731042183,124.954495881,-4250
89.1728647571,125.240284317,-4250
86.6997491574,124.957542099,-4200
89.1376935398,125.236263321,-4200
86.7263674339,124.960585268,-4150
89.1025173393,125.232241755,-4150
86.752827072,124.963610302,-4100
89.067336153,125.228219619,-4100
86.778817814,124.966581728,-4050
89.0321710606,125.224199323,-4050
73.683945759,123.469493128,-5600
74.2592862159,123.535269688,-5600
73.4761595056,123.445737689,-5550
74.4571494876,123.557890669,-5550
76.8400741328,123.830321687,-5550
78.3934628331,124.007914908,-5550
77.0769451093,123.857402275,-5650
77.9131228826,123.952999407,-5650
76.9444674584,123.842256592,-5600
78.1348527613,123.978348969,-5600
77.2814757823,123.880785515,-5700
77.6388334636,123.921640905,-5700
90.8039840245,125.426764188,-5500
91.5020064978,125.506566533,-5550
22.7014807973,117.640855265,-3800
23.2430980673,117.702776377,-3800
23.7338365826,117.758880708,-3800
24.2709365173,117.82028537,-3800
22.7587655887,117.647404424,-3750
23.1829568487,117.695900652,-3750
23.7899533539,117.765296332,-3750
24.2179098236,117.814223022,-3750
22.86287382,117.659306736,-3700
23.1193375813,117.688627295,-3700
