x,y,ELEV
76.5967204239,140.176521316,-5650
77.6344416791,140.068012198,-5650
79.0435926142,139.920664608,-5650
76.4692882449,140.189846237,-5600
76.3740351898,140.199806354,-5550
76.2907494086,140.208515115,-5500
81.1481651108,139.700600401,-5700
81.8474825966,139.627476406,-5700
82.7688898941,139.531129634,-5700
83.3389835338,139.471517905,-5750
90.3590787955,138.73746303,-5900
92.8743798678,138.474451069,-5950
94.89692105,138.26296445,-5950
96.1200892525,138.135064108,-5950
86.2744275125,139.164573785,-5850
85.998701307,139.193405041,-5800
90.803595691,138.690982208,-6000
91.485471101,138.61968204,-6000
90.5766171125,138.714716178,-5950
91.7796248996,138.588923907,-5950
87.7954059695,139.005532973,-5950
88.7663172814,138.904009823,-5950
86.6557800531,139.124697732,-5900
89.088880789,138.870281033,-5900
84.8102474995,139.317675479,-5750
85.6698971269,139.227786385,-5750
15.1521063304,146.60146526,-3800
17.8004359794,146.324543193,-3800
17.8890833857,146.315273794,-3800
18.7627336487,146.223920727,-3800
19.5801038808,146.13845257,-3800
20.7218655694,146.019064484,-3800
20.9096115858,145.999432859,-3800
22.1991727069,145.864590155,-3800
15.0877412405,146.608195582,-3750
19.0617587455,146.192653227,-3750
19.1485163584,146.183581434,-3750
22.5146300484,145.83160442,-3750
15.3625144488,146.579463976,-3950
16.596238636,146.45045985,-3950
21.4361194278,145.94437867,-3950
21.8052509971,145.905780501,-3950
14.9601095462,146.621541365,-3650
22.7206754465,145.810059324,-3650
15.0224542972,146.615022299,-3700
22.623986817,145.820169551,-3700
15.6510241222,146.549296019,-4100
16.3170676772,146.479651306,-4100
15.5338213177,146.561551307,-4050
16.4235785395,146.468514019,-4050
15.4476162469,146.570565323,-4000
16.5160222032,146.458847666,-4000
15.2197593716,146.594391133,-3850
17.6149995082,146.343933321,-3850
18.0874619143,146.294530382,-3850
18.5969115157,146.241259885,-3850
19.8184742153,146.113527423,-3850
20.5631996297,146.035655357,-3850
21.1122876948,145.978240072,-3850
22.0344453708,145.881814836,-3850
15.2911090509,146.586930468,-3900
16.7124110847,146.438312301,-3900
20.0682848261,146.087406026,-3900
20.4295099673,146.04963459,-3900
21.2500253556,145.96383756,-3900
21.926233087,145.893130032,-3900
15.8325729667,146.5303124,-4150
16.1443827828,146.497708068,-4150
27.0489954748,145.357469395,-4050
27.6688306604,145.292656451,-4050
26.9308352701,145.369824793,-4000
27.7634213684,145.282765592,-4000
26.5705040192,145.407502759,-3750
28.3254031267,145.22400208,-3750
26.6360639389,145.400647499,-3800
28.2064617121,145.236439166,-3800
26.8288576372,145.380488064,-3950
27.8635764019,145.272292901,-3950
26.4655284577,145.418479508,-3650
28.6548711919,145.189551317,-3650
26.5164861285,145.413151129,-3700
28.4661838893,145.209281368,-3700
27.1687204552,145.344950376,-4100
27.5504007938,145.305040046,-4100
36.4805571548,144.371260009,-1400
37.6310048155,144.250963677,-1400
36.5018980025,144.369028508,-1350
37.6021555764,144.253980292,-1350
36.5246614303,144.366648254,-1300
37.5733060413,144.256996938,-1300
36.3348669184,144.38649408,-1750
37.862012703,144.226808383,-1750
36.3555155178,144.384334963,-1700
37.8248496729,144.230694328,-1700
36.3762185065,144.382170159,-1650
37.7900830519,144.234329692,-1650
