x2,y,ELEV
38.6594364137,146.13234471,-1650
39.0424354156,146.3330518,-1650
38.7191864088,146.163656143,-1600
38.9752127765,146.297824397,-1600
46.0866243993,150.024493989,-5300
46.2390863064,150.104390243,-5300
48.3017173958,151.185293019,-5400
48.6530031623,151.369381081,-5400
48.7142745932,151.401489809,-5400
49.9149097164,152.030671558,-5400
49.1609918464,151.63558786,-5450
49.5820281435,151.856228044,-5450
45.2127404854,149.566543193,-5350
46.4467186481,150.213198055,-5350
50.528886202,152.352420266,-5350
51.128377785,152.666578294,-5350
54.4158964483,154.389372091,-5700
54.7649710127,154.572301393,-5700
42.0366092475,147.902120948,-5400
42.9686542857,148.390550543,-5400
43.7534623048,148.801821938,-5400
44.8446866434,149.373667976,-5400
12.2310236892,132.282779068,-5700
15.8097031659,134.158153002,-5700
55.1193556852,154.758013409,-5700
12.2660397478,132.30112891,-5750
15.7518223942,134.127821118,-5750
56.2159261998,155.332661061,-5750
38.5232707848,146.060988369,-1900
39.1639559673,146.396733523,-1900
38.5498679107,146.074926347,-1850
39.1445352873,146.386556295,-1850
38.576753404,146.089015442,-1800
39.1204878669,146.373954466,-1800
38.6039978626,146.103292649,-1750
39.0954941543,146.360856742,-1750
38.6315005806,146.117705194,-1700
39.0694972059,146.347233281,-1700
38.3498315552,145.970099143,-2250
39.2994054698,146.467714584,-2250
38.3751603264,145.983372451,-2200
39.2796076141,146.4573397,-2200
38.4003838561,145.996590609,-2150
39.2599619441,146.447044568,-2150
38.4245668585,146.009263488,-2100
39.2404667072,146.43682827,-2100
38.4482920181,146.021696439,-2050
39.2211201777,146.426689899,-2050
38.4715721897,146.033896198,-2000
39.2019206561,146.416628567,-2000
38.496957396,146.047199081,-1950
39.1828664688,146.406643397,-1950
38.2591419903,145.922574113,-2450
39.3777967916,146.508794832,-2450
38.2814608857,145.934270125,-2400
39.3599463193,146.499440457,-2400
38.303701707,145.945925222,-2350
39.3399496773,146.488961401,-2350
38.3254354076,145.957314567,-2300
39.3194883443,146.478238829,-2300
12.3404291947,132.340112013,-5850
15.6466682858,134.072716078,-5850
12.3021129957,132.320032763,-5800
15.6993338709,134.100314992,-5800
12.1983869284,132.265676075,-5650
15.8689544679,134.189203099,-5650
54.2836631734,154.320076465,-5650
12.1611601969,132.24616775,-5600
15.9302910654,134.221345977,-5600
54.093142331,154.220235777,-5600
12.1242550614,132.226827955,-5550
15.9940578716,134.254762383,-5550
31.0991965712,142.170470833,-5550
32.1734247347,142.733410183,-5550
53.5972913251,153.960389636,-5550
12.088553469,132.208118865,-5500
16.0614592826,134.29008347,-5500
31.0488567019,142.14409069,-5500
32.3426928475,142.822113574,-5500
53.0739807938,153.686153584,-5500
12.0136657866,132.168874667,-5400
16.1822078542,134.353360644,-5400
30.8984327806,142.065262423,-5400
34.042515529,143.712889954,-5400
51.7876153556,153.012045655,-5400
12.0496778327,132.187746447,-5450
16.127093419,134.324478433,-5450
30.9902550171,142.113381018,-5450
32.6683487333,142.992770534,-5450
52.6673099732,153.473041496,-5450
11.7588804052,132.03535674,-5050
16.6420614358,134.594342667,-5050
17.6340656599,135.11419332,-5050
17.8465809359,135.225559988,-5050
28.1234591754,140.61106313,-5050
35.7837125646,144.625348182,-5050
40.8554735975,147.283157717,-5050
11.7938425224,132.053678315,-5100
16.5653063614,134.554119879,-5100
28.329061161,140.718806952,-5100
35.7269174862,144.595585245,-5100
40.9827971994,147.349880475,-5100
11.8314905603,132.073407422,-5150
16.5046354879,134.522325868,-5150
28.6521685036,140.888128371,-5150
35.64906427,144.554786986,-5150
41.155431606,147.440347942,-5150
11.8649311801,132.09093167,-5200
16.4362210723,134.486473925,-5200
29.6340786957,141.40268934,-5200
35.426117328,144.4379537,-5200
41.2465368136,147.488090784,-5200
11.8974173404,132.107955742,-5250
16.3524787131,134.442589515,-5250
29.9460291448,141.566164092,-5250
35.2127381529,144.326134314,-5250
41.3723728782,147.554034012,-5250
11.932889718,132.126544714,-5300
16.3038291369,134.417095154,-5300
30.5175109142,141.865643836,-5300
34.9797813326,144.204055443,-5300
41.5193508879,147.631056481,-5300
11.9733868511,132.147766862,-5350
16.2415039968,134.38443424,-5350
30.7793216777,142.002843349,-5350
34.6641765722,144.038665683,-5350
41.7698936422,147.762351097,-5350
11.4826228167,131.890586502,-4700
18.0812789043,135.348551291,-4700
26.6166783923,139.821448575,-4700
36.0021076398,144.739796104,-4700
40.3675390539,147.027460125,-4700
11.5236904895,131.912107637,-4750
18.0506666431,135.332509218,-4750
26.7093400567,139.870007064,-4750
35.9738337682,144.724979443,-4750
40.4002870704,147.044621421,-4750
11.5646598428,131.933577248,-4800
18.0214864631,135.317217614,-4800
26.7958014449,139.915316356,-4800
35.9432956606,144.70897623,-4800
40.4496783827,147.070504482,-4800
11.6051568607,131.954799336,-4850
17.0020026749,134.782966549,-4850
17.3345490627,134.957234413,-4850
17.9918314562,135.301677182,-4850
26.90761546,139.973911458,-4850
35.9115499379,144.692340177,-4850
40.5227305063,147.108786773,-4850
11.6452516576,131.975810644,-4900
16.8806500309,134.719372817,-4900
17.4292763824,135.00687539,-4900
17.9571859646,135.283521532,-4900
27.0889343476,140.068929947,-4900
35.8794526482,144.675519888,-4900
40.6012796465,147.149949724,-4900
11.6820485263,131.995093704,-4950
16.8064884693,134.680509135,-4950
17.4991714272,135.043503243,-4950
17.9213666826,135.264750768,-4950
27.7411032922,140.41069306,-4950
35.8472836551,144.658662025,-4950
40.6725524194,147.187299563,-4950
11.7193786705,132.014656221,-5000
16.7251017598,134.637859182,-5000
17.5610959898,135.075954238,-5000
17.883973404,135.245155166,-5000
27.9757482318,140.533656574,-5000
35.8159229972,144.642227762,-5000
40.7432974264,147.22437283,-5000
11.4416725344,131.869126885,-4650
18.1126281431,135.36497957,-4650
26.5095977221,139.765333938,-4650
36.0303819178,144.754612978,-4650
40.3357716777,147.010812725,-4650
-27.4676008899,111.479081445,-4550
11.3515856027,131.82191766,-4550
18.1769960191,135.398710961,-4550
26.2892373659,139.649856128,-4550
36.0901855347,144.785952512,-4550
40.2679264953,146.975259084,-4550
-27.5223685771,111.450380944,-4600
11.3972977072,131.845872666,-4600
18.1439778143,135.381408076,-4600
26.4046388734,139.710331223,-4600
36.0595501043,144.769898297,-4600
40.3023259564,146.993285804,-4600
-22.9608390733,113.840808359,-4350
11.2048395523,131.745016747,-4350
18.3380923509,135.483132006,-4350
25.8192790197,139.403578797,-4350
36.2211129165,144.854563797,-4350
40.1414823738,146.908997209,-4350
-23.1913004164,113.72003722,-4400
11.2378549056,131.762318138,-4400
18.2969092816,135.461550399,-4400
25.9315981312,139.46243859,-4400
36.1886499974,144.837551904,-4400
40.1713380581,146.924642805,-4400
-27.2906725055,111.571799131,-4450
-25.9731388122,112.262240497,-4450
-23.4774927697,113.57006076,-4450
11.2727224487,131.780590152,-4450
18.2564865646,135.440367247,-4450
26.0472961795,139.523069084,-4450
36.1554535068,144.82015559,-4450
40.2024863827,146.940965797,-4450
-27.3941348596,111.51758064,-4500
11.3110187226,131.800658961,-4500
18.2167408168,135.419538855,-4500
26.1696733477,139.587199709,-4500
36.1212516292,144.802232412,-4500
40.2346651773,146.957828797,-4500
-22.7689108091,113.941386593,-4300
-18.9438415749,115.945878804,-4300
-17.7383346218,116.57761359,-4300
11.1736750479,131.728685277,-4300
18.3926472099,135.511720976,-4300
24.425416067,138.673137788,-4300
24.5253634036,138.725514266,-4300
25.6842501246,139.332818151,-4300
36.2535754382,144.871575482,-4300
40.1121937467,146.893648775,-4300
-22.4695861438,114.09824492,-4250
-19.0933918707,115.867508352,-4250
-16.7972449025,117.070782968,-4250
11.1419744996,131.712072897,-4250
18.4551655398,135.54448313,-4250
24.1575253522,138.532752132,-4250
36.2854876195,144.888298766,-4250
40.0826272465,146.878154723,-4250
-15.7628296173,117.612858746,-4000
