x,y,ELEV
79.8549639214,140.88456103,-4950
79.1480385205,140.916145659,-5000
78.5760420555,140.941701816,-5050
78.1602156532,140.960280471,-5100
77.8288501826,140.975085507,-5150
77.5703621914,140.986634459,-5200
83.1207994256,140.738647182,-4100
83.3976069697,140.726279733,-4100
83.0445140082,140.742055529,-4050
83.5468650212,140.719611052,-4050
82.9753963724,140.745143627,-4000
83.673276975,140.713963108,-4000
80.330202526,140.863327905,-4750
91.4261317961,140.367574298,-4750
92.8480991314,140.3040424,-4750
80.2631561498,140.866323461,-4800
91.5301023871,140.362929009,-4800
92.7687319715,140.307588436,-4800
80.1746345121,140.870278508,-4850
91.6313396967,140.35840584,-4850
92.690725839,140.311073662,-4850
84.1791682566,140.691360456,-3850
88.0630963504,140.517830929,-3850
89.1037537148,140.471335531,-3850
89.7636462583,140.441852277,-3850
80.6300651364,140.849930381,-4400
90.4913112113,140.409341027,-4400
93.2904451674,140.284278878,-4400
80.5922537517,140.851619751,-4450
90.5906963643,140.40490061,-4450
93.2351335277,140.28675014,-4450
80.5544582895,140.85330841,-4500
90.7375875572,140.398337678,-4500
93.1791129491,140.289253076,-4500
80.5166787323,140.854996358,-4550
90.9074116034,140.390750131,-4550
93.1230943836,140.291755923,-4550
80.4773685215,140.856752694,-4600
91.0654376252,140.383689706,-4600
93.0582361577,140.294653715,-4600
80.4284217249,140.858939582,-4650
91.1988069722,140.377730914,-4650
92.9908720575,140.297663467,-4650
80.3793294146,140.861132971,-4700
91.3229126558,140.372186012,-4700
92.9245133904,140.300628298,-4700
80.8664590717,140.839368567,-4050
90.0246970276,140.430188823,-4050
93.6257362123,140.269298453,-4050
80.8425004095,140.840439013,-4100
90.0861651095,140.427442498,-4100
93.5794707633,140.271365541,-4100
80.8120156399,140.841801038,-4150
90.1394335931,140.425062522,-4150
93.5333710683,140.273425223,-4150
80.7780527605,140.843318461,-4200
90.1928752351,140.42267481,-4200
93.4872724686,140.275484857,-4200
80.7421544187,140.844922359,-4250
90.251451972,140.420057667,-4250
93.4388854321,140.277646735,-4250
80.7059976792,140.846537801,-4300
90.3251655957,140.416764226,-4300
93.3892310331,140.279865237,-4300
80.6687155791,140.848203523,-4350
90.3997062738,140.413433832,-4350
93.3398374015,140.282072089,-4350
85.7454629153,140.621380177,-3650
87.8460548661,140.527528098,-3650
