ELEV,y2,x2
-4950,169.330710954,-28.9278803879
-4950,169.989447577,-28.9274309642
-5050,169.452200754,-28.9277975014
-5050,169.913639275,-28.9274826845
-5000,169.39256693,-28.9278381866
-5000,169.956410029,-28.9274535041
-4650,171.76684165,-28.9262183354
-4650,172.511127524,-28.9257105457
-4700,171.674059398,-28.9262816362
-4750,171.289195577,-28.9265442099
-4750,171.513210171,-28.9263913757
-4600,171.959177601,-28.926087114
-4600,172.058424163,-28.926019403
-4800,146.967361257,-28.9431378049
-4800,150.246660147,-28.9409005001
-4800,169.126743412,-28.928019545
-4800,170.088397392,-28.9273634556
-4850,147.182450057,-28.9429910604
-4850,149.963233387,-28.9410938683
-4850,169.21875665,-28.9279567689
-4850,170.055441234,-28.92738594
-4550,166.614397626,-28.9297335953
-4550,168.078227753,-28.9287348958
-4500,166.693118591,-28.9296798879
-4500,168.015601889,-28.9287776224
-4350,170.465530856,-28.927106156
-4350,170.722526512,-28.9269308204
-4450,170.326378878,-28.9272010925
-4450,170.909829394,-28.9268030329
-4500,170.282075076,-28.9272313189
-4500,170.970877813,-28.9267613825
-4550,170.250034997,-28.9272531782
-4550,171.031927408,-28.9267197314
-4600,170.217932981,-28.9272750799
-4600,171.08234032,-28.9266853371
-4650,170.185768869,-28.9272970239
-4650,171.145803412,-28.9266420394
-4400,166.842445226,-28.9295780096
-4400,167.889495384,-28.9288636587
-5100,169.51559082,-28.9277542535
-5100,169.841756073,-28.9275317269
-5150,169.64593554,-28.9276653257
-5150,169.770118177,-28.9275806019
-4400,170.395816011,-28.927153719
-4400,170.816774214,-28.9268665198
-4200,167.228498286,-28.9293146246
-4200,167.530459212,-28.9291086114
-4250,167.097705342,-28.9294038582
-4250,167.644879771,-28.9290305479
-4300,167.005655399,-28.9294666594
-4300,167.737779518,-28.928967167
-4350,166.921055786,-28.9295243775
-4350,167.815117219,-28.9289144032
-4450,166.761051283,-28.9296335407
-4450,167.952627681,-28.9288205866
-4550,161.063384032,-28.9335207797
-4550,162.307905711,-28.9326717036
-4550,164.086130974,-28.9314585077
-4550,165.260199415,-28.9306574984
-4500,161.139855177,-28.9334686072
-4500,162.232489895,-28.9327231561
-4500,164.324870578,-28.9312956274
-4500,165.050283881,-28.9308007135
-4450,161.21737976,-28.933415716
-4450,162.158656118,-28.9327735293
-4300,161.603516821,-28.9331522736
-4300,161.786697056,-28.9330272987
-4350,161.420662356,-28.9332770263
-4350,161.969431781,-28.9329026278
-4850,165.905200153,-28.930217446
-4850,166.06004808,-28.9301118009
-4800,165.753070486,-28.9303212366
-4800,166.207111293,-28.9300114668
-4750,165.648853482,-28.9303923388
-4750,166.313275941,-28.9299390359
-4400,161.31468982,-28.9333493261
-4400,162.069402213,-28.9328344229
-4300,155.628618323,-28.9372286539
-4300,158.34608207,-28.9353746616
-4350,155.568203254,-28.9372698722
-4350,158.558741523,-28.9352295745
-4400,155.50075383,-28.9373158896
-4400,158.749858175,-28.935099185
-4450,155.422612794,-28.9373692014
-4450,158.902951399,-28.934994737
-4500,155.337765814,-28.9374270883
-4500,159.023172702,-28.9349127159
-4000,156.126900546,-28.9368887004
-4000,157.314083384,-28.9360787437
-4050,156.004966131,-28.9369718903
-4050,157.465962095,-28.9359751243
-4100,155.917376974,-28.937031648
-4100,157.613938965,-28.935874167
-4150,155.838381608,-28.9370855427
-4150,157.770910324,-28.9357670731
-4200,155.773427881,-28.9371298575
-4200,157.939946336,-28.9356517481
-4250,155.708681954,-28.9371740304
-4250,158.124763271,-28.9355256566
-4550,155.224781038,-28.9375041723
-4550,159.125325962,-28.9348430217
-3900,156.463596284,-28.9366589894
-3900,157.014304436,-28.9362832682
-3950,156.27074388,-28.9367905631
-3950,157.175937388,-28.936172994
-4700,159.376407231,-28.9346717213
-4700,160.839773037,-28.9336733386
-4700,162.555959671,-28.9325024686
-4700,163.522829034,-28.931842821
-4700,165.569558938,-28.9304464376
-4700,166.393557381,-28.9298842638
-4750,159.480839735,-28.9346004721
-4750,160.738310078,-28.9337425618
-4750,162.68434203,-28.9324148796
-4750,163.306424066,-28.9319904635
-4800,159.654850803,-28.9344817529
-4800,160.643641306,-28.9338071496
-5400,120.587652904,-28.9611353865
-5400,122.697511968,-28.9596959331
-5450,120.617023081,-28.9611153487
-5450,122.623121467,-28.9597466861
-5050,120.387341418,-28.9612720492
-5050,123.199790761,-28.9593532529
-5100,120.413245892,-28.9612543759
-5100,123.143719844,-28.9593915074
-5150,120.439848901,-28.9612362259
-5150,123.084680927,-28.9594317867
-5200,120.466510836,-28.9612180358
-5200,123.014393009,-28.9594797407
-5250,120.495105054,-28.9611985274
-5250,122.943957071,-28.9595277957
-5300,120.525276845,-28.9611779426
-5300,122.861091273,-28.959584331
-5350,120.556464934,-28.9611566645
-5350,122.773457585,-28.9596441191
-4700,120.196299415,-28.9614023878
-4700,123.567759321,-28.959102206
-4700,124.37206239,-28.9585534695
-4700,124.746611214,-28.9582979332
-4750,120.222780031,-28.9613843214
-4750,123.514866637,-28.9591382921
-4800,120.249572702,-28.961366042
-4800,123.462379322,-28.9591741016
-4850,120.277831907,-28.9613467622
-4850,123.411470231,-28.9592088344
-4900,120.308518552,-28.9613258262
-4900,123.360693403,-28.9592434769
-4950,120.336120047,-28.961306995
-4950,123.310048235,-28.9592780296
-5000,120.361730771,-28.9612895221
-5000,123.255973051,-28.9593149225
-4650,120.169818691,-28.9614204543
-4650,123.620837641,-28.9590659933
-4650,124.254926069,-28.9586333858
-4650,124.833791403,-28.9582384544
-4650,159.285063418,-28.9347340407
-4650,160.914478171,-28.9336223709
-4650,162.458129191,-28.9325692135
-4650,163.709232929,-28.9317156468
-4650,165.495126459,-28.9304972192
-4650,166.472866899,-28.9298301548
-4550,120.107281709,-28.9614631202
-4550,123.768329596,-28.9589653667
-4550,124.065326998,-28.95876274
-4550,124.96483355,-28.9581490508
-4550,144.992982434,-28.9444848268
-4600,120.143337862,-28.9614385209
-4600,123.674675307,-28.9590292625
-4600,124.159311139,-28.9586986192
-4600,124.898118395,-28.9581945672
-4600,145.659107002,-28.9440303627
-4600,154.297263912,-28.9381369717
-4600,154.329479072,-28.9381149929
-4600,155.07366571,-28.9376072709
-4600,159.208328598,-28.9347863931
-4600,160.988505312,-28.9335718658
-4600,162.38214873,-28.9326210513
-4600,163.889518237,-28.9315926469
-4600,165.389083789,-28.9305695669
-4600,166.546133431,-28.9297801687
-4600,168.139303384,-28.9286932269
-4350,67.838332868,-28.9971236612
-4350,119.942709662,-28.9615753997
-4350,125.140356142,-28.9580293003
-4350,142.702723212,-28.9460473584
-4400,67.6398280832,-28.9972590913
-4400,119.98504305,-28.9615465177
-4400,125.096510871,-28.9580592138
-4400,142.846879064,-28.9459490079
-4450,120.025831627,-28.9615186896
-4450,125.052696884,-28.9580891059
-4450,143.036783281,-28.9458194456
-4500,120.066616198,-28.9614908643
-4500,123.845587551,-28.9589126574
-4500,123.87139886,-28.9588950476
-4500,125.00882634,-28.9581190366
-4500,143.446229603,-28.9455401004
-4500,143.822445302,-28.9452834269
-4500,144.480715257,-28.9448343216
-4300,68.0976544584,-28.9969467388
-4300,119.885546936,-28.961614399
-4300,125.179156665,-28.9580028286
-4300,142.585959338,-28.9461270206
-4250,68.3998013199,-28.9967405988
-4250,119.820187256,-28.9616589907
-4250,125.216784675,-28.9579771569
-4250,142.463895459,-28.9462102988
-4000,70.6026392773,-28.9952377104
-4000,74.3792701791,-28.9926611004
-4000,75.9100733129,-28.9916167084
-4000,119.121576488,-28.9621356186
-4000,125.416286798,-28.9578410463
-4000,141.913572341,-28.9465857573
-4050,70.2192748159,-28.9954992612
-4050,74.47424443,-28.9925963041
-4050,75.7674243151,-28.9917140309
-4050,119.340552018,-28.9619862223
-4050,125.372124693,-28.957871176
-4050,142.013944964,-28.946517278
-4100,69.9037552288,-28.9957145248
-4100,119.525154295,-28.9618602772
-4100,125.329386063,-28.9579003345
-4100,142.117601796,-28.946446558
-4150,69.5899844996,-28.9959285952
-4150,119.649541012,-28.9617754142
-4150,125.291825893,-28.9579259599
-4150,142.252839503,-28.946354292
-4200,68.6649432381,-28.9965597054
-4200,119.749022595,-28.9617075428
-4200,125.25429211,-28.9579515674
-4200,142.354249895,-28.9462851046
-3800,125.607066224,-28.9577108869
-3800,140.04519075,-28.9478604625
-3850,125.553894344,-28.9577471635
-3850,140.154373679,-28.9477859723
-3900,71.1548697619,-28.9948609507
-3900,73.9531655461,-28.9929518107
-3900,76.1037642138,-28.9914845626
-3900,118.914848978,-28.9622766586
-3900,125.504481827,-28.9577808752
-3900,140.29941718,-28.9476870162
-3900,141.296492498,-28.9470067606
-3900,141.522540954,-28.9468525389
-3950,70.9138217174,-28.9950254059
-3950,74.0693550145,-28.9928725403
-3950,76.0105231282,-28.9915481765
-3950,118.991618864,-28.9622242823
-3950,125.460376196,-28.9578109663
-3950,140.535657652,-28.9475258409
-3950,140.803780264,-28.947342914
-3950,141.788696225,-28.9466709542
-4750,152.642625298,-28.9392658505
-4750,153.225343467,-28.9388682905
-4950,148.272238379,-28.9422475513
-4950,149.254509048,-28.9415773961
-5000,148.704237955,-28.9419528191
-5000,148.932129309,-28.94179734
-4900,147.547991741,-28.9427416692
-4900,149.513509905,-28.9414006926
-3650,138.680157793,-28.9487917575
-3650,139.737028266,-28.9480707066
-3550,138.987248693,-28.9485822445
-3550,139.486182771,-28.9482418462
-3600,138.820580034,-28.9486959543
-3600,139.629264841,-28.9481442283
-3700,138.551749386,-28.9488793643
-3700,139.84106235,-28.9479997293
-4200,135.494002692,-28.9509655149
-4200,136.328271264,-28.9503963344
-4150,135.452898394,-28.9509935584
-4150,136.410222872,-28.9503404228
-4100,135.411802659,-28.951021596
-4100,136.492719074,-28.9502841397
-4050,135.370876723,-28.9510495177
-4050,136.589218783,-28.9502183027
-4000,135.332375155,-28.9510757855
-4000,136.699989341,-28.9501427294
-3800,135.176111145,-28.9511823967
-3800,138.259222011,-28.9490789414
-3850,135.215767671,-28.951155341
-3850,138.06204747,-28.9492134639
-3750,138.414747854,-28.9489728337
-3750,139.941849941,-28.9479309668
-4400,135.708476454,-28.95081919
-4400,135.97944644,-28.9506343205
-4350,135.647664029,-28.9508606793
-4350,136.08653579,-28.9505612586
-4300,135.586938244,-28.9509021096
-4300,136.170428034,-28.9505040231
-4250,135.535115557,-28.9509374656
-4250,136.250838265,-28.9504491631
-4000,131.939881468,-28.9533903176
-4000,132.99711245,-28.9526690207
-3750,131.557115789,-28.9536514598
-3750,133.425372807,-28.9523768397
-3950,131.858193801,-28.9534460491
-3950,133.093387411,-28.952603337
-4100,132.187117807,-28.9532216403
-4100,132.745503201,-28.9528406814
-3650,125.830616888,-28.9575583692
-3650,131.346830212,-28.9537949274
-3650,133.578310687,-28.9522724976
-3650,135.046343321,-28.951270931
-3950,135.293527366,-28.9511022894
-3950,136.856447021,-28.950035986
-3900,135.254658207,-28.9511288079
-3900,137.665247508,-28.949484181
-3300,126.612457444,-28.9570249578
-3300,130.226570202,-28.9545592258
-3300,134.182608042,-28.9518602152
-3300,134.59289357,-28.9515802975
-3350,126.553178192,-28.9570654011
-3350,130.371654005,-28.9544602423
-3350,134.057254582,-28.9519457377
-3350,134.69336272,-28.9515117523
-3400,126.494044127,-28.9571057454
-3400,130.49411911,-28.9543766903
-3400,133.969622928,-28.9520055245
-3400,134.774710961,-28.9514562524
-3450,126.416532574,-28.9571586277
-3450,130.609802467,-28.9542977653
-3450,133.881785673,-28.9520654515
-3450,134.841023892,-28.9514110103
-3500,126.280719367,-28.9572512864
-3500,130.715801637,-28.9542254472
-3500,133.805007609,-28.9521178335
-3500,134.895494959,-28.9513738474
-3550,126.132744611,-28.9573522423
-3550,130.847147332,-28.9541358365
-3550,133.728144483,-28.9521702734
