d,long,lat
-4600,134.356230559,47.229617624
-4650,136.446947567,43.6345249303
-4650,134.331622583,47.2719322723
-4700,136.455980108,43.6189930224
-4700,134.282794179,47.3558951594
-4750,136.465012698,43.6034610304
-4750,134.227239108,47.4514248889
-4100,136.347312945,43.8058516565
-4100,134.625721582,46.7662143016
-4150,136.357257188,43.7887520324
-4150,134.598412151,46.8131742359
-4200,136.36728345,43.7715113713
-4200,134.57346535,46.8560715106
-4250,136.377309757,43.7542706336
-4250,134.550587377,46.8954113334
-4300,136.387336109,43.7370298192
-4300,134.522678411,46.9434021988
-4350,136.396894505,43.7205936778
-4350,134.492709695,46.9949349088
-4400,136.406169644,43.7046446116
-4400,134.467817688,47.0377379612
-3750,136.26446464,43.9483134688
-3750,134.826228035,46.4214334053
-3800,136.278915641,43.9234642482
-3800,134.79427955,46.4763704267
-3850,136.291126516,43.9024670372
-3850,134.762580037,46.5308793283
-3900,136.303337495,43.8814696459
-3900,134.733508976,46.5808684746
-3950,136.31554858,43.8604720743
-3950,134.706933627,46.6265661181
-4000,136.327759769,43.8394743223
-4000,134.679891159,46.673066998
-4050,136.338475055,43.8210488505
-4050,134.65033639,46.7238879051
-5500,131.987594393,51.3026062408
-5500,131.173801923,52.701963184
-5500,130.633633941,53.6308091066
-5500,130.118525689,54.5165635662
-5450,131.885303878,51.478499909
-5450,131.537453806,52.0766455444
-3400,135.788068687,44.7675001904
-3400,135.086737525,45.9734742786
-3450,135.976682231,44.4431697471
-3450,135.047640039,46.0407043648
-3500,136.119218091,44.1980721911
-3500,135.008776625,46.1075319528
-3550,136.150512187,44.1442604245
-3550,134.969918741,46.1743500327
-3600,136.18821698,44.0794251422
-3600,134.932809931,46.2381604919
-3650,136.224428155,44.0171582131
-3650,134.895870438,46.301679801
-3700,136.245046931,43.9817031939
-3700,134.859303335,46.3645587685
-3200,135.44654008,45.3547757492
-3200,135.263210196,45.6700206743
-3250,135.507477719,45.2499904246
-3250,135.208549725,45.7640120952
-3300,135.579841431,45.1255573942
-3300,135.162871899,45.8425574055
-3350,135.655289932,44.9958199152
-3350,135.124780197,45.9080579976
-5450,130.351019773,54.1167783345
-5450,130.23741937,54.3121199216
-5550,129.69725841,55.2409537681
-5550,129.574375602,55.4522569157
-5100,113.95288534,82.3141924617
-5100,113.95259612,82.3146897895
-5450,114.195962007,81.8962099485
-5450,113.707902584,82.7354525899
-5400,114.171473832,81.9383185919
-5400,113.735219649,82.6884795273
-5350,114.14841363,81.9779717657
-5350,113.768178015,82.631805965
-5300,114.125586173,82.0172247227
-5300,113.801186058,82.5750469803
-5250,114.100585719,82.0602142552
-5250,113.832481988,82.5212320604
-5200,114.074446322,82.1051622593
-5200,113.864318282,82.466487957
-5150,114.038099015,82.1676632757
-5150,113.906053745,82.3947217366
-5700,114.312586002,81.6956691418
-5700,113.377982882,83.3027660545
-5650,114.279662942,81.7522819945
-5650,113.520047369,83.0584790482
-5600,114.257979237,81.7895682119
-5600,113.572509691,82.9682674569
-5550,114.237886889,81.8241180122
-5550,113.635300394,82.8602956944
-5500,114.217222737,81.8596510576
-5500,113.675058372,82.7919298593
-5850,113.219668144,83.5749961821
-3650,157.748548657,7.00535409665
-3650,155.166377717,11.4455264602
-3650,154.625592904,12.3754330531
-3650,152.960684314,15.2383268292
-3700,157.733064621,7.03197967161
-3700,155.208654626,11.3728291971
-3700,154.584117784,12.4467516011
-3700,152.975081091,15.2135708488
-5400,143.380521777,31.7118965247
-5450,143.37074104,31.7287149913
-5050,143.476438914,31.5469622
-5100,143.460452309,31.5744519681
-5150,143.44305632,31.6043652432
-5200,143.430649224,31.6256998665
-5250,143.418242238,31.6470343003
-5300,143.405835363,31.6683685445
-5350,143.393180637,31.6901289794
-4700,143.582959141,31.363795329
-4750,143.564915095,31.3948229717
-4800,143.549406769,31.4214903153
-4850,143.533898548,31.4481574782
-4900,143.518719307,31.4742589451
-4950,143.504008996,31.4995540621
-5000,143.490223911,31.5232582061
-4650,143.608703184,31.3195271568
-4550,164.882214776,-5.26134237587
-4550,143.660334861,31.2307439015
-4600,165.459573056,-6.25413887884
-4600,143.635730834,31.2730517584
-4350,163.642104915,-3.12891130927
-4350,143.744757533,31.0855748841
-4400,164.304797585,-4.26844457333
-4400,143.724077223,31.1211357148
-4450,164.436604448,-4.49509308083
-4450,143.703030872,31.1573259692
-4500,164.59463295,-4.76683101151
-4500,143.68127685,31.1947331012
-4300,163.544783891,-2.96156292921
-4300,143.765310673,31.0502327305
-4250,163.418000687,-2.74355285628
-4250,143.785762231,31.0150652504
-4000,161.863806031,-0.071037239382
-4000,143.888849355,30.8378017746
-4050,161.985702518,-0.280644359049
-4050,143.865054122,30.878718869
-4100,162.48201074,-1.13407122462
-4100,143.843573075,30.9156566072
-4150,162.703628393,-1.51515388796
-4150,143.823203128,30.950683752
-4200,163.124674841,-2.23916435939
-4200,143.804311493,30.9831688642
-3650,161.43837854,0.660506655692
-3650,151.726700099,17.3602245415
-3650,151.138971314,18.3708536475
-3650,150.566728843,19.3548532597
-3650,150.422184439,19.6034046086
-3650,144.825357001,29.2274299337
-3650,144.237835207,30.2377031074
-3650,144.099558077,30.4754775645
-3700,161.498672407,0.55682832991
-3700,144.777082398,29.3104405338
-3700,144.293388516,30.1421764078
-3700,144.058334422,30.5463637053
-3750,161.55093795,0.466955109445
-3750,144.722939831,29.4035413905
-3750,144.341547326,30.0593649205
-3750,144.028882857,30.5970071487
-3800,161.602262019,0.378700799109
-3800,144.573474444,29.6605546159
-3800,144.419145912,29.9259302631
-3800,144.005072266,30.6379506526
-3850,161.65620083,0.285950309387
-3850,143.979080106,30.6826454745
-3900,161.711828635,0.190295510366
-3900,143.949339783,30.7337854508
-3950,161.780148109,0.072816750719
-3950,143.915929745,30.7912356855
-3300,160.207393125,2.77724778167
-3300,157.82993117,6.86541278604
-3300,150.939128667,18.7144930964
-3300,150.740624315,19.0558312797
-3300,149.299071457,21.5346536772
-3300,145.080763968,28.7882448515
-3350,160.283166442,2.64695176453
-3350,157.81850779,6.88505586014
-3350,150.959701828,18.6791165141
-3350,150.726299101,19.0804642039
-3350,149.358338974,21.4327402109
-3350,145.045567802,28.848766423
-3400,160.361660357,2.5119775435
-3400,157.807060106,6.9047407256
-3400,150.98045963,18.6434224337
-3400,150.711415855,19.106056691
-3400,149.413711079,21.3375251007
-3400,145.006312818,28.9162673351
-3450,160.461203874,2.34080747579
-3450,157.795588041,6.92446751686
-3450,152.902388579,15.3385692677
-3450,151.836531877,17.1713632941
-3450,151.002033988,18.6063242436
-3450,150.694054805,19.1359098865
-3450,149.470639297,21.239634177
-3450,144.968608977,28.9811009796
-3500,161.196867907,1.0757962958
-3500,160.886767897,1.60902880649
-3500,160.673128002,1.97639331491
-3500,157.784091516,6.94423636891
-3500,152.918326311,15.3111635378
-3500,151.811234327,17.2148636989
-3500,151.033295457,18.5525685799
-3500,150.668156137,19.1804439434
-3500,149.882095014,20.532115447
-3500,149.815446431,20.6467210269
-3500,149.525683703,21.1449825615
-3500,144.933499304,29.0414738234
-3550,161.28181703,0.929722021101
-3550,157.772570451,6.96404741735
-3550,152.933429004,15.2851937006
-3550,151.785119046,17.2597702327
-3550,151.07062895,18.4883717678
-3550,150.63615252,19.2354757679
-3550,150.339916355,19.744868703
-3550,150.089920323,20.1747494103
-3550,150.031846571,20.2746101375
-3550,149.660230734,20.9136221982
-3550,149.614606294,20.992075709
-3550,144.895024141,29.1076337938
-3600,161.365080702,0.78654596282
-3600,157.760985564,6.98396821097
-3600,155.122836394,11.5203979477
-3600,154.672095624,12.2954692948
-3600,152.947313828,15.2613180504
-3600,151.756896235,17.3083007725
-3600,151.106437403,18.4267973377
-3600,150.602881444,19.2926870506
-3600,150.374908067,19.6846987004
-3600,144.859224914,29.1691923585
-3000,159.87683768,3.34565443819
-3000,157.889812255,6.76244425877
-3000,149.015795997,22.021760031
-3000,145.26425641,28.4727203999
-3050,159.925529023,3.2619272336
-3050,157.881106228,6.77741470781
-3050,149.062891698,21.9407766129
-3050,145.238081758,28.5177290248
-3100,159.971486871,3.18290040985
-3100,157.872256759,6.79263181387
-3100,149.106372268,21.8660095924
-3100,145.210518726,28.5651250399
-3150,160.014432426,3.10905337646
-3150,157.86326027,6.80810172765
-3150,149.147515528,21.7952616949
-3150,145.181735944,28.6146184771
-3200,160.074828293,3.0051996557
-3200,157.852639048,6.82636545088
-3200,149.185815018,21.7294038014
-3200,145.15168955,28.6662847581
-3250,160.137868378,2.89679906947
-3250,157.841324449,6.84582147078
-3250,150.918737699,18.7495563877
-3250,150.757745868,19.0263899117
-3250,149.226713865,21.6590761849
-3250,145.117589043,28.7249222881
-2800,148.677270946,22.603870824
-2800,145.378279737,28.2766515724
-2850,148.738892307,22.4979098054
-2850,145.350271991,28.3248122967
-2900,148.821749826,22.3554321481
-2900,145.320182196,28.3765532072
-2950,148.923913794,22.1797560849
-2950,145.291643637,28.4256266902
-2450,148.478228833,22.946133715
-2450,145.615773965,27.8682683431
-2500,148.506069751,22.8982598619
-2500,145.583420022,27.9239025701
-2550,148.532726159,22.8524228318
-2550,145.548396302,27.9841276125
-2600,148.559153622,22.8069794841
-2600,145.506748171,28.0557436616
-2650,148.585391644,22.7618618903
-2650,145.458065041,28.1394567429
-2700,148.612116231,22.7159076235
-2700,145.431863618,28.1845114046
-2750,148.63707916,22.6729826153
-2750,145.405434592,28.2299574382
-2100,148.304398358,23.24504393
-2100,145.867726248,27.4350237634
-2150,148.334780275,23.1928007009
-2150,145.828279682,27.5028541118
-2200,148.361826773,23.1462928922
-2200,145.787654795,27.5727106403
-2250,148.385746962,23.1051609276
-2250,145.751303038,27.6352193089
-2300,148.405535474,23.0711335902
-2300,145.71667218,27.6947688053
-2350,148.426838738,23.0345015601
-2350,145.682780949,27.7530464754
-2400,148.450870446,22.9931778332
-2400,145.647375505,27.8139279117
-1450,147.879037159,23.976473833
-1450,146.350343183,26.6051397525
-2000,148.21955031,23.3909444017
-2000,145.941398809,27.3083401012
-2050,148.270111974,23.3040010857
-2050,145.905439419,27.3701740749
-1650,147.943464554,23.8656876977
-1650,146.166449828,26.9213535937
-1700,147.959150485,23.8387149541
-1700,146.13538366,26.9747734274
-1750,147.985762218,23.7929547452
-1750,146.102926458,27.0305852127
-1800,148.01958744,23.7347905798
-1800,146.06978395,27.0875754166
-1850,148.051106532,23.6805919208
-1850,146.036558811,27.1447077088
-1900,148.100350532,23.5959143955
-1900,146.005990037,27.1972722476
-1950,148.159918978,23.4934834666
-1950,145.973846558,27.2525445708
-1500,147.896115129,23.9471074088
-1500,146.280685991,26.7249187852
-1550,147.911947103,23.9198835347
-1550,146.239991703,26.7948946542
-1600,147.927730169,23.8927437615
-1600,146.198694992,26.8659064188
-1900,159.114077401,4.65725897216
-1900,158.798040559,5.20070016358
-1900,158.788586388,5.21695708457
-1900,158.179744496,6.26389123596
-3650,157.156395507,8.02359111909
-3650,156.79373636,8.64720170131
-3700,157.194438206,7.95817479108
-3700,156.745553203,8.73005505563
-3750,157.231977502,7.89362409031
-3750,156.706188463,8.79774469803
-4650,165.944928831,-7.08873246392
-4650,165.721775513,-6.70500914669
-4050,156.458261134,9.22406816771
-4050,156.292755359,9.50866364481
-3600,157.098469475,8.12319783508
-3600,156.85762157,8.53734787946
-1850,159.079349199,4.7169758561
-1850,158.891834486,5.03941680555
-1850,158.746926781,5.28859286718
-1850,158.206429245,6.21800547306
-1800,159.058521009,4.75279097318
-1800,158.936528525,4.96256316487
-1800,158.708579641,5.35453269613
-1800,158.232513071,6.17315302711
-1750,159.027058048,4.80689311213
-1750,158.977738813,4.89170000855
-1750,158.67504482,5.41219750206
-1750,158.259268321,6.12714603307
-1950,159.134929988,4.62140190352
-1950,158.159311564,6.2990266872
-1700,158.650197994,5.4549228646
-1700,158.291101184,6.07240782921
-1650,158.626819333,5.49512364371
-1650,158.32033132,6.02214514514
-1600,158.604132767,5.53413433168
-1600,158.347489376,5.97544550692
-1550,158.582167447,5.57190480078
-1550,158.375618865,5.92707544108
-1500,158.558232952,5.61306136469
-1500,158.410758575,5.86665094829
-1450,158.52562473,5.66913283735
-1450,158.443751146,5.80991856831
-4150,157.553131594,7.34138353131
-4150,157.516066313,7.40511914042
-2250,159.262695644,4.40170245408
-2250,158.071042842,6.45080917979
-2450,159.334499773,4.27823165417
-2450,158.019304767,6.53977539199
-2400,159.31643046,4.30930274407
-2400,158.032503843,6.51707891986
-2350,159.299409204,4.33857164658
-2350,158.04533722,6.49501128497
-2300,159.281096432,4.37006137668
-2300,158.057819899,6.47354669245
-2000,159.157559911,4.58248861731
-2000,158.143619494,6.32600998841
-4100,157.583180239,7.28971338017
-4100,157.441208284,7.53384127371
-2050,159.182204404,4.54011117605
-2050,158.127975892,6.35290994691
-2100,159.206244036,4.49877382366
-2100,158.112401625,6.37969067971
-2150,159.225113964,4.46632603607
-2150,158.097320147,6.4056240369
-2200,159.244000797,4.43384918033
-2200,158.084208267,6.42817057186
-2500,159.351751895,4.24856576577
-2500,158.005724124,6.56312798939
-2850,159.759295212,3.54777460347
-2850,157.916936623,6.7158025479
-2900,159.796871546,3.48316021365
-2900,157.906807716,6.73321971156
-2950,159.822328142,3.43938632218
-2950,157.8983783,6.74771451415
-2550,159.36812768,4.22040678261
-2550,157.991745111,6.5871656029
-2600,159.383692276,4.19364268091
-2600,157.977349926,6.61191884557
-2650,159.398504525,4.16817227604
-2650,157.963764571,6.63527954416
-2700,159.412440249,4.1442090987
-2700,157.951847523,6.65577150444
-2750,159.519453189,3.96019498451
-2750,157.940211542,6.67578015805
-2800,159.706649073,3.63830227861
-2800,157.928572923,6.69579334676
-1400,147.861849978,24.0060280529
-1400,146.395258794,26.5279051077
-1350,147.851229758,24.0242900536
-1350,146.441721474,26.448010201
-1150,147.808794247,24.0972600426
-1150,146.571304026,26.2251865076
-1200,147.819392756,24.0790353737
-1200,146.536447083,26.2851247679
-1250,147.829998174,24.0607988269
-1250,146.502386919,26.3436929263
-1300,147.840610505,24.0425503907
-1300,146.476314255,26.3885261799
-850,147.750375174,24.1977145659
-850,146.71242476,25.9825223304
-900,147.75666595,24.1868972614
-900,146.697296895,26.0085354535
-950,147.766469151,24.170040165
-950,146.680371062,26.0376402716
-1000,147.777040097,24.1518628947
-1000,146.660283798,26.0721813283
-1050,147.787617923,24.1336737917
-1050,146.63650116,26.113076767
-1100,147.798202638,24.1154728448
-1100,146.607895319,26.1622659444
-600,147.720501875,24.2490832015
-600,146.764157451,25.8935653752
-650,147.726072265,24.2395046365
-650,146.756436678,25.9068416321
-700,147.731834358,24.2295964293
-700,146.748715975,25.9201177679
-800,147.743974637,24.2087206109
-800,146.727600181,25.9564274336
-750,147.73779822,24.2193412688
-750,146.7409006,25.9335566965
50,147.540496453,24.5586115467
50,146.995319418,25.4960707863
-250,147.68205384,24.3151965249
-250,146.825723503,25.7876994632
-350,147.693329748,24.2958070358
-350,146.810485724,25.8139015877
-400,147.698949479,24.2861436264
-400,146.803352729,25.8261671302
-450,147.704557114,24.2765010169
-450,146.79377836,25.8426307385
-500,147.709899174,24.2673150776
-500,146.783356131,25.8605522836
-550,147.715113779,24.2583483028
-550,146.772578825,25.8790844006
0,147.653649615,24.3640390132
0,146.865948198,25.718531083
-50,147.659355129,24.3542280955
-50,146.857903172,25.7323649097
-100,147.665048269,24.3444384571
-100,146.849858189,25.746198661
-150,147.670729073,24.3346700285
-150,146.84181325,25.7600323371
-200,147.676397584,24.3249227407
-200,146.833768355,25.7738659378
-300,147.687697881,24.3054913127
-300,146.817678695,25.8015329134
150,147.479895269,24.6628183208
150,147.203302154,25.1384340455
100,147.517051536,24.5989262573
100,147.098991181,25.317801993
200,147.439593816,24.7321186894
200,147.305064903,24.9634478983
-6500,140.004412423,37.5172857891
-6500,139.700168354,38.0404487154
-6450,139.977643288,37.5633166583
-6450,139.738063973,37.9752852992
-6400,139.947841714,37.6145619588
-6400,139.775083276,37.9116287527
-6350,139.91446157,37.6719607886
-6350,139.818832072,37.8364005043
-6850,140.108189247,37.3388363381
-6850,139.455872597,38.4605275154
-6800,140.095331598,37.36094571
-6800,139.484698305,38.4109602658
-6750,140.082317339,37.3833243804
-6750,139.520284614,38.3497678233
-6700,140.069143594,37.4059772952
-6700,139.558486587,38.2840776167
-6650,140.055758758,37.4289931916
-6650,139.596194366,38.2192372002
-6600,140.039321814,37.4572573413
-6600,139.634320948,38.153676631
-6550,140.022490297,37.4861999785
-6550,139.665510112,38.1000453003
-7500,138.966759019,39.3015828296
-7500,138.920549789,39.3810419177
-7150,140.166065155,37.2393158139
-7150,139.250388495,38.8138677297
-7100,140.156819702,37.255213833
-7100,139.282338877,38.758927445
-7050,140.147484982,37.2712653516
-7050,139.313077016,38.7060716754
-7000,140.138059697,37.2874726016
-7000,139.35095439,38.6409396323
-6950,140.128542524,37.3038378579
-6950,139.387814736,38.5775564187
-6900,140.118932114,37.3203634404
-6900,139.424614013,38.514278218
-4000,156.526351806,9.10698284499
-4000,156.240628765,9.59829793564
-3700,155.986316234,10.0356010802
-3700,155.685329205,10.5531633647
-3750,156.031935745,9.9571560454
-3750,155.628719242,10.6505070332
-3650,155.914512891,10.1590705274
-3650,155.758782964,10.4268559434
-3850,154.461492702,12.6576115762
-3850,153.599604419,14.1396716818
-3850,153.477942235,14.3488759063
-3850,153.113776055,14.9750779058
-3800,154.502374399,12.5873134498
-3800,153.066168741,15.0569410693
-3500,155.023795724,11.690703345
-3500,154.780412732,12.1092125986
-3550,155.079057869,11.5956773157
-3550,154.722686196,12.208476272
-4100,154.255599354,13.0116555088
-4100,154.046932019,13.3704694519
-4050,154.309794276,12.9184646241
-4050,153.962701022,13.5153088727
-3450,154.890410389,11.9200661133
-3450,154.853492713,11.9835479082
-3150,152.732369838,15.6309250144
-3150,152.638732475,15.7919391544
-3200,152.783070269,15.5437430826
-3200,152.573716887,15.9037367172
-4000,154.35092879,12.8477317648
-4000,153.868287005,13.6776585071
-3950,154.387357907,12.7850900728
-3950,153.783534656,13.8233944199
-3750,154.54315548,12.5171883369
-3750,153.018204263,15.1394183937
-3900,154.425205295,12.7200095927
-3900,153.705180988,13.9581274792
-3900,153.380713992,14.5160647428
-3900,153.311656723,14.6348121793
-3900,153.252620082,14.7363286424
-3900,153.161304132,14.8933509963
-3250,152.812119375,15.4937916892
-3250,152.543019807,15.9565218841
-3300,152.84082486,15.4444311678
-3300,152.51580831,16.0033134169
-4050,157.612692368,7.23896579379
-4050,157.407443629,7.59190128975
-3750,157.717798549,7.0582304475
-3750,155.256494211,11.2905666319
-4000,157.640047342,7.1919275449
-4000,157.373860619,7.6496489585
-3800,157.704499882,7.08109817261
-3800,157.260557266,7.84447975317
-3800,156.680230252,8.84238114399
-3800,156.07350111,9.88568231595
-3800,155.566324162,10.7577985013
-3800,155.309672082,11.199124617
-3850,157.691093548,7.10415103576
-3850,157.287947192,7.79738140295
-3850,156.647022801,8.89948301979
-3850,156.11741588,9.81016866736
-3950,157.661202541,7.15555011991
-3950,157.34055884,7.70691303741
-3950,156.57055857,9.03096709738
-3950,156.188819867,9.68738593275
-3900,157.676850742,7.12864225429
-3900,157.314439044,7.75182733578
-3900,156.60783119,8.9668749591
-3900,156.155784083,9.74419261896
-3700,151.644258689,17.5019866779
-3700,151.198899692,18.2678037979
-3450,152.376536616,16.2427980766
-3450,152.211578622,16.526451616
-3400,152.447495355,16.1207809672
-3400,152.124080413,16.6769091728
-3300,152.023346536,16.8501261234
-3300,151.9115155,17.0424251946
-3200,150.897710497,18.7857137163
-3200,150.78572922,18.9782711348
-3750,151.523852415,17.7090313014
-3750,151.46402702,17.8119040668
-3350,152.866495213,15.4002897093
-3350,152.484041146,16.057938649
-3350,152.080300394,16.7521911097
-3350,151.885304512,17.087496303
-3400,152.885544557,15.3675334075
-3400,151.860697051,17.1298100659
-5650,143.318824727,31.8179876945
-5650,136.634124279,43.3126651906
-5650,133.1155565,49.3630188575
-5650,132.72868948,50.0282560899
-5700,143.304889823,31.8419494603
-5700,136.643842168,43.2959547935
-5750,143.290893355,31.866017088
-5750,136.655680437,43.2755982972
-5800,143.276812009,31.8902306684
-5800,136.667601183,43.2550999764
-3500,150.283120421,19.8425321588
-3500,150.239278596,19.9179203734
-6500,143.009661205,32.3496098683
-6500,142.678703887,32.9187075653
-6500,142.277728563,33.6082047352
-6500,136.970155591,42.7348425059
-6450,143.038826349,32.2994589402
-6450,136.916064381,42.8278550526
-5950,143.233477393,31.9647467129
-5950,136.70575778,43.1894877951
-6400,143.058778425,32.2651503465
-6400,136.876197224,42.8964086282
-6350,143.079601602,32.2293438498
-6350,136.849740345,42.9419025567
-5900,143.248130028,31.9395507738
-5900,136.692922136,43.2115593277
-5850,143.262701235,31.914494852
-5850,136.68008661,43.2336306591
-6300,143.100425065,32.1935368606
-6300,136.826231406,42.9823273558
-6000,143.218908271,31.9897990495
-6000,136.718632209,43.1673495686
-6750,141.968559579,34.1398362997
-6750,137.536750425,41.7605542871
-6700,142.018980829,34.0531344327
-6700,137.436363249,41.9331750691
-6650,142.053678812,33.9934695122
-6650,137.305422156,42.1583348423
-6600,142.944598572,32.461488327
-6600,142.797136042,32.7150575385
-6600,142.091370936,33.9286560147
-6600,137.182945657,42.368939322
-6550,142.97692044,32.4059092543
-6550,142.74787987,32.7997559945
-6550,142.188601058,33.7614639472
-6550,137.052332494,42.5935352022
-6150,143.158109126,32.0943462264
-6150,136.765830678,43.0861894363
-6900,141.88981487,34.2752417739
-6900,137.813707904,41.2843120203
-6200,143.138899281,32.1273785173
-6200,136.784499416,43.0540876056
-6250,143.120170094,32.1595842938
