x,d,y
19.9690270452,-4600,153.545774796
20.0730895187,-4600,153.511449501
16.2615893415,-4000,154.768683386
17.377242574,-4000,154.400682079
19.5161572123,-4000,153.695155164
21.6110762585,-4000,153.004140317
16.1694515172,-3950,154.799075303
17.4315468072,-3950,154.382769677
19.4907499494,-3950,153.70353582
21.68239668,-3950,152.980615078
-3.68019933712,-4050,161.34653759
-2.1819980561,-4050,160.85235175
-3.48561070576,-3850,161.282351991
-2.35272603785,-3850,160.908666847
-3.43518420418,-3800,161.26571867
-2.39443601738,-3800,160.922424999
-3.38475743972,-3750,161.249085262
-2.43762734395,-3750,160.936671778
-3.33433041201,-3700,161.232451767
-2.48960253372,-3700,160.953815938
-3.2766767031,-3650,161.213434532
-2.54276347849,-3650,160.971351223
-3.21668515962,-3600,161.193646155
-2.59841289521,-3600,160.989707337
0.706419287243,-4100,159.899599292
1.38352241911,-4100,159.67625495
-1.92707905358,-4300,160.768266011
-0.680069635357,-4300,160.356936502
-1.85466594548,-4350,160.744380347
-0.800791219761,-4350,160.396756851
-1.768085042,-4400,160.715821396
-0.934435850718,-4400,160.440839902
-1.6374594877,-4450,160.672734195
-1.09928392268,-4450,160.495215495
-3.73354453438,-4100,161.364133651
-2.13841232877,-4100,160.837974877
-3.6312861569,-4000,161.330403442
-2.22419532138,-4000,160.866270634
-3.58278616797,-3950,161.314405586
-2.26646501144,-3950,160.880213409
-3.53441380983,-3900,161.29844983
-2.31031512253,-3900,160.894677489
32.2112330432,-1300,149.507649255
32.6013914957,-1300,149.37895441
32.0542322038,-1400,149.559436417
32.7759685613,-1400,149.321369681
32.1278788787,-1350,149.535143857
32.691938071,-1350,149.349087371
44.9994363888,-5650,145.289424978
60.082945671,-5650,140.314087684
45.1067537832,-5700,145.254026039
59.768882439,-5700,140.41768231
45.225573141,-5750,145.214833145
59.4587589105,-5750,140.519977415
45.358398502,-5800,145.171020332
59.0201999636,-5800,140.664637297
47.4216540055,-6500,144.490449792
53.0076442241,-6500,142.647895454
53.2831896735,-6500,142.557006024
55.5305484994,-6500,141.815708494
47.3661005967,-6450,144.508774237
55.6552672037,-6450,141.774569684
46.4764530548,-5950,144.802226942
57.0447918242,-5950,141.316231141
47.3098030492,-6400,144.527344139
55.7850697689,-6400,141.731753948
47.2469775264,-6350,144.548067312
55.9168249523,-6350,141.688294136
45.8561493769,-5900,145.006835827
57.1796583353,-5900,141.271745049
45.5384871543,-5850,145.111617591
57.5560545622,-5850,141.147589711
57.5690511372,-5850,141.143302755
58.3148762095,-5850,140.89729029
47.183428213,-6300,144.569029229
56.0620445845,-6300,141.640393039
46.6501012266,-6000,144.744948612
56.9271640693,-6000,141.355030982
47.6897494176,-6750,144.402017778
52.7158459028,-6750,142.744145938
53.5949221776,-6750,142.454180195
54.9208785602,-6750,142.016809811
47.6362703283,-6700,144.419658003
52.7672634146,-6700,142.727185729
53.5411390649,-6700,142.471920703
55.037380707,-6700,141.978381255
47.5832038982,-6650,144.437162112
52.8170841783,-6650,142.710752212
53.4884519876,-6650,142.489299682
55.1619658272,-6650,141.937286509
47.5302627883,-6600,144.454624884
52.8663859237,-6600,142.694489895
53.4362520055,-6600,142.50651799
55.2827475723,-6600,141.897446316
47.4772754453,-6550,144.472102906
52.9331130923,-6550,142.672479754
53.3642163174,-6550,142.530279161
55.4042198152,-6550,141.85737836
46.9693775515,-6150,144.639634432
56.5494411948,-6150,141.479623917
47.850288148,-6900,144.349063633
52.6031998247,-6900,142.781302558
53.8889789068,-6900,142.357184769
54.5358452208,-6900,142.143814124
47.0442233211,-6200,144.614946348
56.3857091701,-6200,141.533631379
47.1203787544,-6250,144.589826267
56.2172853305,-6250,141.589186449
47.7963870422,-6850,144.366843062
52.6371343343,-6850,142.770109166
53.7473057355,-6850,142.403916056
54.6853285028,-6850,142.09450665
46.7803076531,-6050,144.701999662
56.8132671754,-6050,141.392600187
47.7431613295,-6800,144.384399711
52.6743384897,-6800,142.757837273
53.6702433879,-6800,142.429335285
54.8006392337,-6800,142.056471086
47.9633905772,-7000,144.311756484
52.5386737195,-7000,142.802586673
47.9074413547,-6950,144.33021149
52.5709369799,-6950,142.791944547
46.8788585871,-6100,144.669492363
56.6871533601,-6100,141.434199178
48.1463280885,-7150,144.251414039
52.4501482341,-7150,142.831787049
48.0833291236,-7100,144.272194422
52.4793577978,-7100,142.822152194
48.0186313182,-7050,144.293535172
52.5080861963,-7050,142.812676052
48.3454999135,-7300,144.185716661
52.3627524794,-7300,142.860614781
48.2817332831,-7250,144.206750261
52.391704999,-7250,142.851064712
48.208312006,-7200,144.230968472
52.420926761,-7200,142.841425833
49.2483918558,-8050,143.887895255
51.9067412281,-8050,143.011031355
49.4130812011,-8200,143.833572018
51.7904022926,-8200,143.049406075
49.3039470117,-8100,143.869570233
51.8683788852,-8100,143.02368528
49.3585135303,-8150,143.851571315
51.8299963722,-8150,143.036345858
48.6083688408,-7500,144.099008618
52.2592705554,-7500,142.89474858
48.5448983055,-7450,144.11994455
52.2845955099,-7450,142.886395074
48.4780691898,-7400,144.141988319
52.3099202581,-7400,142.878041635
48.4154394593,-7350,144.162646909
52.3352448003,-7350,142.869688265
49.1318010206,-7950,143.926353064
51.9826368705,-7950,142.985996967
49.1909697615,-8000,143.906836091
51.9450455819,-8000,142.998396557
48.8463627543,-7700,144.020505667
52.1464511049,-7700,142.931962388
49.0157701435,-7850,143.96462617
52.0525214699,-7850,142.962945338
48.7850729886,-7650,144.040722266
52.176678314,-7650,142.921991859
49.0750164754,-7900,143.945083604
52.0175793501,-7900,142.974471093
48.7243639673,-7600,144.060747304
52.2070944127,-7600,142.911959025
48.6766565881,-7550,144.076483715
52.2339453948,-7550,142.903102154
49.4665076637,-8250,143.815949151
51.7493217883,-8250,143.062956593
49.5650013688,-8350,143.78346073
51.6679503617,-8350,143.089797183
49.5141858818,-8300,143.800222359
51.7082407541,-8300,143.076507285
48.8993436668,-7750,144.003029766
52.1164376641,-7750,142.941862405
48.9583616597,-7800,143.983562518
52.0859180525,-7800,142.951929383


