ELEV,y2,x2
-4950,175.366926781,-30.7761449407
-5050,168.759439214,-31.7764875963
-5050,170.192714941,-31.5594963674
-4300,172.895761605,-31.1502677686
-4300,173.479697329,-31.0618626363
-4200,173.082463229,-31.1220020177
-4200,173.215179195,-31.1019094423
-4250,172.946376757,-31.1426048719
-4250,173.380182311,-31.0769287438
-5000,168.694041117,-31.7863885618
-5000,170.249797301,-31.5508543656
-4950,168.638683901,-31.7947693849
-4950,170.310491763,-31.5416655085
-4650,172.613373923,-31.1930199405
-4650,174.993689851,-30.8326512629
-4600,172.652306636,-31.1871257101
-4600,174.936851447,-30.8412563309
-4550,172.689789719,-31.1814509471
-4550,174.878558455,-30.8500816168
-4500,172.725611916,-31.1760276343
-4500,174.063020341,-30.9735502658
-4500,174.10925226,-30.9665509698
-4500,174.827525877,-30.8578077099
-4450,172.76179113,-31.1705502708
-4450,173.809142015,-31.0119862546
-4450,174.429429873,-30.9180775795
-4450,174.671852536,-30.8813759243
-4400,172.803931557,-31.1641704077
-4400,173.683445411,-31.0310161314
-4800,170.72821214,-31.4784246007
-4800,170.998411404,-31.4375176984
-4800,172.330585656,-31.235832759
-4800,175.146005018,-30.8095914603
-4850,170.492512933,-31.5141083563
-4850,175.19274398,-30.8025154006
-4350,172.848867797,-31.1573672714
-4350,173.581545519,-31.0464432977
-4750,172.436115325,-31.2198560616
-4750,175.097005065,-30.8170098236
-4700,172.523051045,-31.206694401
-4700,175.046817178,-30.8246080345
-4950,171.406031126,-31.3758059825
-4950,171.873407123,-31.3050474466
-4900,171.285208554,-31.3940979537
-4900,172.011464898,-31.2841461465
-5200,169.093696896,-31.7258825496
-5200,170.025927515,-31.5847472021
-5150,168.951285173,-31.747443017
-5150,170.074769536,-31.5773527491
-5100,168.842318658,-31.7639400369
-5100,170.12361212,-31.5699582108
-4800,168.503227358,-31.8152768708
-4850,168.535905169,-31.8103296033
-5350,169.546479455,-31.6573333918
-5350,169.717188061,-31.6314889088
-5300,169.394546261,-31.6803353654
-5300,169.845370185,-31.6120827358
-5250,169.244053253,-31.7031193017
-5250,169.930002703,-31.5992697693
-3200,167.189164863,-32.014219775
-3200,167.627375485,-31.9478767402
-3150,167.361205413,-31.9881736418
-3150,167.528946063,-31.9627784934
-4850,171.156385032,-31.4136012313
-4850,172.209212959,-31.2542080166
-3550,166.8148459,-32.0708899119
-3550,167.86864947,-31.9113489895
-3500,166.853760459,-32.0649984301
-3500,167.843890722,-31.9150973479
-3450,166.89550314,-32.0586787837
-3450,167.819162,-31.9188411604
-3400,166.94349807,-32.0514125762
-3400,167.787166457,-31.9236851357
-3350,166.991741933,-32.0441086814
-3350,167.746844533,-31.9297896862
