x2,y,ELEV
81.9395651469,162.308226701,-5450
82.0822894532,162.363384631,-5350
82.2245019753,162.418344774,-5250
82.152892458,162.390670211,-5300
81.8643908629,162.279174482,-5500
81.7849653398,162.248479308,-5550
83.9047904175,163.067717218,-4850
83.5935883418,162.94744855,-4950
82.4685672004,162.512667408,-5100
82.5784630683,162.555138299,-5050
82.7479809502,162.620651005,-5000
83.7857788886,163.021723444,-4900
82.2989142358,162.447102498,-5200
82.3819416729,162.479189685,-5150
82.0111704128,162.33589962,-5400
79.0563686486,161.193972558,-5800
79.4829051553,161.358813931,-5800
76.8732442013,160.350271665,-5800
77.3651418303,160.540372815,-5800
34.301055151,143.897616403,-5700
62.1140927245,154.646378193,-5700
70.3980126973,157.847822201,-5700
81.187067064,162.017412632,-5700
34.3421045399,143.91348055,-5750
62.0233573419,154.611312156,-5750
70.4814349924,157.880061987,-5750
80.0169377765,161.565198775,-5750
58.5021273641,153.25048049,-5850
59.6339172459,153.687877513,-5850
70.5879300097,157.921218569,-5800
73.5757204545,159.075894598,-5800
62.4326836711,154.7695024,-5300
69.9505241479,157.674883599,-5300
62.4639711765,154.781593921,-5250
69.9014808016,157.655930069,-5250
62.4874241479,154.790657671,-5200
69.8660163414,157.642224301,-5200
62.5100401414,154.799397958,-5150
67.6402726026,156.782052549,-5150
62.1674653824,154.66700485,-5650
70.329418964,157.821313133,-5650
62.2153241214,154.685500571,-5600
70.2606310416,157.794729018,-5600
62.2629592509,154.703909875,-5550
70.1962729453,157.769856875,-5550
62.3056025551,154.720390014,-5500
70.1344635493,157.745969715,-5500
62.3374714393,154.732706218,-5450
70.0779351776,157.724123485,-5450
62.3692744471,154.744996963,-5400
70.0293032265,157.705328945,-5400
62.4010117882,154.75726233,-5350
69.9863316924,157.688721957,-5350
63.256713122,155.08796083,-3250
63.5702976152,155.209150218,-3250
63.1512567083,155.047205631,-3400
63.6755092907,155.249810834,-3400
63.2230201775,155.074939691,-3300
63.6065350595,155.223154717,-3300
63.1878989384,155.061366566,-3350
63.6447309016,155.237916068,-3350
63.097640942,155.026485021,-3550
63.7598217847,155.282394651,-3550
63.114978904,155.033185534,-3500
63.7319037553,155.271605313,-3500
