ELEV,y2,x2
-5600,129.893511034,-2.6206547582
-5600,120.009263027,1.95672841703
-5550,130.052204309,-2.69414541968
-5550,119.856277938,2.02757562474
-5500,130.225532735,-2.77441360213
-5500,119.601520735,2.14555337462
-4800,153.933622941,-13.7536012092
-4850,169.272595846,-20.85706082
-4850,168.555866558,-20.5251443625
-4850,168.547752277,-20.5213866489
-4850,167.34256035,-19.9632637399
-4850,154.217481643,-13.8850558275
-4850,171.092264526,-21.6997471623
-4800,168.332885901,-20.4218822928
-4800,167.477227491,-20.0256279285
-5000,170.111659401,-21.2456301272
-5000,169.947400194,-21.169561889
-4950,170.666749124,-21.5026914995
-4950,169.741878464,-21.074385027
-4950,166.818801062,-19.7207114536
-4950,165.563894071,-19.1395655595
-5400,130.612523785,-2.95362868435
-5400,119.103202006,2.37632416892
-5450,130.43269456,-2.87034999017
-5450,119.336896994,2.26810030574
-5050,131.589902425,-3.40625153832
-5050,116.80308456,3.44150574788
-5100,131.477239263,-3.35407736574
-5100,117.207002469,3.25445185762
-5150,131.382585467,-3.31024330863
-5150,117.753538081,3.00135188349
-5200,131.287762253,-3.26633079412
-5200,118.132927909,2.82565691778
-5250,131.140130101,-3.19796252492
-5250,118.369777038,2.71597237532
-5300,130.869008753,-3.07240655992
-5300,118.617180577,2.60140009883
-5350,130.752292827,-3.01835555685
-5350,118.858971979,2.48942679602
-4700,132.909274563,-4.01725116358
-4700,101.868659245,10.357619864
-4750,132.820670829,-3.97621888274
-4750,109.115470988,7.00163020002
-4800,132.721726117,-3.93039770733
-4800,112.873306388,5.2613812178
-4850,132.606572698,-3.87707029996
-4850,114.628840873,4.44839534277
-4900,132.415010316,-3.7883579948
-4900,115.295669685,4.13958773466
-4950,131.815967835,-3.51094215358
-4950,115.857627419,3.87934579473
-5000,131.69738747,-3.45602773141
-5000,116.405785709,3.62549436033
-4650,132.998207136,-4.05843572958
-4650,101.300981287,10.6205108327
-4550,150.132735381,-11.9934148243
-4550,133.171747095,-4.13880187228
-4550,100.919071661,10.7973727137
-4600,150.301182539,-12.0714224974
-4600,133.086196245,-4.09918337812
-4600,101.056288601,10.7338277167
-4350,148.086046166,-11.0455955496
-4350,133.454838386,-4.26990110326
-4350,100.010195913,11.2182719623
-4400,148.225787278,-11.1103094876
-4400,133.390389985,-4.24005512762
-4400,100.432794692,11.0225669843
-4450,148.422606787,-11.2014563617
-4450,133.324248018,-4.20942486359
-4450,100.681542705,10.907372083
-4500,149.938173759,-11.9033135751
-4500,133.248709119,-4.1744428917
-4500,100.816854217,10.8447094872
-4300,147.969098333,-10.9914371511
-4300,133.518174438,-4.29923195181
-4300,99.8661764848,11.2849671835
-4250,147.865947812,-10.9436682705
-4250,133.569478246,-4.32299068238
-4250,99.777943103,11.3258279548
-4000,147.364413223,-10.7114082153
-4000,133.786859534,-4.42365969143
-4000,99.40855043,11.4968932504
